cost_ratio,effectiveness,tau_star,break_even_p,test_mean_cost,best_trivial_cost,saving_vs_trivial,alarm_rate,mean_alarm_k,recall,precision
0.02,0.2,0.30000000000000004,0.09999999999999999,2.5525423728813563,2.636440677966102,0.0318225650916103,0.4163135593220339,2.0063613231552164,0.9460869565217391,0.6921119592875318
0.02,0.5,0.18,0.04,1.666101694915255,1.7227754237288135,0.032896759515464113,0.5709745762711864,1.8265306122448979,0.9808695652173913,0.5231910946196661
0.02,0.8,0.18,0.024999999999999998,0.769915254237288,0.8091101694915253,0.04844200052369729,0.5709745762711864,1.8265306122448979,0.9808695652173913,0.5231910946196661
0.02,1.0,0.18,0.02,0.17245762711864407,0.2,0.13771186440677974,0.5709745762711864,1.8265306122448979,0.9808695652173913,0.5231910946196661
0.05,0.2,0.44,0.25,2.663665254237288,2.9364406779661016,0.09289321789321792,0.3463983050847458,1.9342507645259939,0.9113043478260869,0.8012232415902141
0.05,0.5,0.30000000000000004,0.1,1.8130296610169492,2.0227754237288136,0.10369206598586012,0.4163135593220339,2.0063613231552164,0.9460869565217391,0.6921119592875318
0.05,0.8,0.19999999999999998,0.0625,0.9388241525423727,1.1091101694915253,0.15353390639923592,0.5407838983050848,1.9030362389813908,0.9756521739130435,0.5494613124387855
0.05,1.0,0.18,0.05,0.34375,0.5,0.3125,0.5709745762711864,1.8265306122448979,0.9808695652173913,0.5231910946196661
0.1,0.2,0.62,0.5,2.8188559322033897,3.045550847457627,0.07443478260869574,0.3029661016949153,1.9580419580419581,0.8695652173913043,0.8741258741258742
0.1,0.5,0.4,0.2,1.9968220338983051,2.5227754237288136,0.2084820491287004,0.3548728813559322,1.9417910447761193,0.9217391304347826,0.7910447761194029
0.1,0.8,0.30000000000000004,0.125,1.1567796610169492,1.6091101694915253,0.28110599078341003,0.4163135593220339,2.0063613231552164,0.9460869565217391,0.6921119592875318
0.1,1.0,0.30000000000000004,0.1,0.5805084745762712,1.0,0.4194915254237288,0.4163135593220339,2.0063613231552164,0.9460869565217391,0.6921119592875318
0.2,0.2,0.98,1.0,3.045550847457627,3.045550847457627,0.0,0.006355932203389831,4.583333333333333,0.020869565217391306,1.0
0.2,0.5,0.56,0.4,2.333156779661017,3.045550847457627,0.23391304347826092,0.3204449152542373,1.9900826446280993,0.888695652173913,0.8446280991735537
0.2,0.8,0.44,0.25,1.5180084745762712,2.609110169491525,0.41818920016240346,0.3463983050847458,1.9342507645259939,0.9113043478260869,0.8012232415902141
0.2,1.0,0.4,0.2,0.948093220338983,2.0,0.5259533898305084,0.3548728813559322,1.9417910447761193,0.9217391304347826,0.7910447761194029
0.5,0.2,0.98,2.5,3.0646186440677967,3.045550847457627,-0.00626086956521732,0.006355932203389831,4.583333333333333,0.020869565217391306,1.0
0.5,0.5,0.98,1.0,3.045550847457627,3.045550847457627,0.0,0.006355932203389831,4.583333333333333,0.020869565217391306,1.0
0.5,0.8,0.86,0.625,2.5121822033898304,3.045550847457627,0.1751304347826087,0.1933262711864407,2.356164383561644,0.6156521739130435,0.9698630136986301
0.5,1.0,0.62,0.5,1.9120762711864407,3.045550847457627,0.37217391304347824,0.3029661016949153,1.9580419580419581,0.8695652173913043,0.8741258741258742
1.0,0.2,0.98,5.0,3.0963983050847457,3.045550847457627,-0.016695652173913,0.006355932203389831,4.583333333333333,0.020869565217391306,1.0
1.0,0.5,0.98,2.0,3.077330508474576,3.045550847457627,-0.01043478260869568,0.006355932203389831,4.583333333333333,0.020869565217391306,1.0
1.0,0.8,0.98,1.25,3.0582627118644066,3.045550847457627,-0.004173913043478139,0.006355932203389831,4.583333333333333,0.020869565217391306,1.0
1.0,1.0,0.98,1.0,3.045550847457627,3.045550847457627,0.0,0.006355932203389831,4.583333333333333,0.020869565217391306,1.0
