calibrator,cohort,k,n_k,base_rate_k,mean_pred,auc,brier,ece,mce,bias
uncalibrated,variable,1,1888,0.3045550847457627,0.3048804278753653,0.9373714361402695,0.07570223988034193,0.04953607285307763,0.17571996519858546,0.00032534312960257744
uncalibrated,variable,2,1883,0.30377057886351566,0.3039978242991578,0.935342689347266,0.075528201617016,0.050425678256015946,0.16092212769251257,0.0002272454356420971
uncalibrated,variable,3,1229,0.4564686737184703,0.45322376723808916,0.9069774888725224,0.10900492232033712,0.05305290083502766,0.10768830611418001,-0.0032449064803811416
uncalibrated,variable,4,1119,0.4691689008042895,0.4777764061016686,0.9102613435946769,0.10989972350375858,0.061284769422043694,0.1844331992430745,0.008607505297379057
uncalibrated,variable,5,903,0.5260243632336655,0.5279763039437435,0.911583866207575,0.11311370654846228,0.06153350067734264,0.20986490939925084,0.0019519407100779176
uncalibrated,variable,6,739,0.5561569688768606,0.5543805714682708,0.9080136193697703,0.11559557181950701,0.07301779304667073,0.21654723703952644,-0.0017763974085897843
uncalibrated,variable,7,596,0.6241610738255033,0.606435124994276,0.8989535330261137,0.11890404003638722,0.07541627824505917,0.22194978479782718,-0.017725948831227314
uncalibrated,variable,8,479,0.6617954070981211,0.6385579433878358,0.9123924134439382,0.1152276953455326,0.06968072785709982,0.23164458257731857,-0.023237463710285244
uncalibrated,variable,9,415,0.6626506024096386,0.643134605281565,0.9093506493506494,0.11673366558659146,0.06642248228307672,0.15846778339835577,-0.01951599712807358
uncalibrated,variable,10,343,0.6559766763848397,0.6423981341378355,0.90015065913371,0.12295891238670724,0.07331187436436569,0.1704003878060183,-0.013578542247004064
uncalibrated,variable,11,285,0.6771929824561403,0.653260251922433,0.9106217616580311,0.11406457763236831,0.06441404849098638,0.2625001598545331,-0.023932730533707397
uncalibrated,variable,12,251,0.6932270916334662,0.6652548432747537,0.8982683982683982,0.1212478724524497,0.05740966350020338,0.1572735248004007,-0.027972248358712433
uncalibrated,fixed,1,309,0.7508090614886731,0.6385231640811256,0.9123936408419167,0.11795895919977864,0.11228589740754748,0.20832492985273207,-0.11228589740754748
uncalibrated,fixed,2,308,0.75,0.6355468575992335,0.9099342216225333,0.11947554731326375,0.1209545146120459,0.2107630673034994,-0.11445314240076662
uncalibrated,fixed,3,308,0.75,0.6602239011297497,0.8999269129139259,0.11643423109678618,0.09207992027219512,0.31686392269128005,-0.08977609887025027
uncalibrated,fixed,4,308,0.75,0.6715170539029782,0.9005453421037837,0.11401052416730122,0.08809818719449122,0.24886022488933868,-0.07848294609702172
