epsilon,k,n,coverage,mean_set_size,singleton_rate,abstain_rate,empty_rate,nominal,gap,bin
0.2,1,1888,0.7907838983050848,0.8373940677966102,0.8373940677966102,0.0,0.16260593220338984,0.8,-0.009216101694915269,1
0.2,2,1883,0.8024429102496017,0.8513011152416357,0.8513011152416357,0.0,0.14869888475836432,0.8,0.0024429102496016375,2
0.2,3,1229,0.7835638730675346,0.8755085435313262,0.8755085435313262,0.0,0.12449145646867373,0.8,-0.016436126932465434,3
0.2,4,1119,0.7506702412868632,0.8328865058087578,0.8328865058087578,0.0,0.1671134941912422,0.8,-0.04932975871313683,4
0.2,5,903,0.7796234772978959,0.8770764119601329,0.8770764119601329,0.0,0.12292358803986711,0.8,-0.020376522702104105,5
0.2,6,739,0.7591339648173207,0.8525033829499323,0.8525033829499323,0.0,0.14749661705006767,0.8,-0.040866035182679394,6
0.2,7,596,0.7399328859060402,0.837248322147651,0.837248322147651,0.0,0.16275167785234898,0.8,-0.06006711409395982,6
0.2,8,479,0.7432150313152401,0.8392484342379958,0.8392484342379958,0.0,0.16075156576200417,0.8,-0.05678496868475991,6
0.2,9,415,0.7204819277108434,0.8096385542168675,0.8096385542168675,0.0,0.19036144578313252,0.8,-0.07951807228915664,9
0.2,10,343,0.6909620991253644,0.7667638483965015,0.7667638483965015,0.0,0.23323615160349853,0.8,-0.10903790087463561,10
0.2,11,285,0.6701754385964912,0.7333333333333333,0.7333333333333333,0.0,0.26666666666666666,0.8,-0.12982456140350884,11
0.2,12,251,0.6772908366533864,0.749003984063745,0.749003984063745,0.0,0.250996015936255,0.8,-0.12270916334661364,12
0.1,1,1888,0.9057203389830508,0.9957627118644068,0.9957627118644068,0.0,0.00423728813559322,0.9,0.005720338983050799,1
0.1,2,1883,0.9054699946893255,0.9909718534253851,0.9909718534253851,0.0,0.009028146574614976,0.9,0.005469994689325519,2
0.1,3,1229,0.8999186330349878,1.082180634662327,0.9178193653376729,0.0821806346623271,0.0,0.9,-8.136696501226393e-05,3
0.1,4,1119,0.8811438784629133,1.0437890974084003,0.9562109025915997,0.043789097408400354,0.0,0.9,-0.018856121537086712,4
0.1,5,903,0.9047619047619048,1.1306755260243633,0.8693244739756367,0.13067552602436322,0.0,0.9,0.004761904761904745,5
0.1,6,739,0.8849797023004059,1.0825439783491204,0.9174560216508796,0.08254397834912043,0.0,0.9,-0.01502029769959412,6
0.1,7,596,0.8808724832214765,1.0838926174496644,0.9161073825503355,0.08389261744966443,0.0,0.9,-0.019127516778523534,6
0.1,8,479,0.8684759916492694,1.0772442588726514,0.9227557411273486,0.07724425887265135,0.0,0.9,-0.03152400835073066,6
0.1,9,415,0.8674698795180723,1.03855421686747,0.9614457831325302,0.03855421686746988,0.0,0.9,-0.032530120481927716,9
0.1,10,343,0.8862973760932945,1.1486880466472302,0.8513119533527697,0.14868804664723032,0.0,0.9,-0.013702623906705513,10
0.1,11,285,0.9333333333333333,1.231578947368421,0.7684210526315789,0.23157894736842105,0.0,0.9,0.033333333333333326,11
0.1,12,251,0.9043824701195219,1.1832669322709164,0.8167330677290837,0.18326693227091634,0.0,0.9,0.004382470119521864,12
0.05,1,1888,0.9639830508474576,1.2304025423728813,0.7695974576271186,0.23040254237288135,0.0,0.95,0.013983050847457656,1
0.05,2,1883,0.9580456718003186,1.186404673393521,0.813595326606479,0.186404673393521,0.0,0.95,0.008045671800318677,2
0.05,3,1229,0.9414157851912124,1.3140764849471114,0.6859235150528885,0.3140764849471115,0.0,0.95,-0.008584214808787571,3
0.05,4,1119,0.938337801608579,1.2877569258266308,0.7122430741733691,0.2877569258266309,0.0,0.95,-0.011662198391420908,4
0.05,5,903,0.9523809523809523,1.3588039867109634,0.6411960132890365,0.3588039867109635,0.0,0.95,0.0023809523809523725,5
0.05,6,739,0.9472259810554804,1.3504736129905277,0.6495263870094723,0.35047361299052776,0.0,0.95,-0.002774018944519563,6
0.05,7,596,0.9412751677852349,1.3523489932885906,0.6476510067114094,0.3523489932885906,0.0,0.95,-0.008724832214765055,6
0.05,8,479,0.9582463465553236,1.3736951983298538,0.6263048016701461,0.3736951983298539,0.0,0.95,0.008246346555323636,6
0.05,9,415,0.9686746987951808,1.416867469879518,0.5831325301204819,0.41686746987951806,0.0,0.95,0.0186746987951808,9
0.05,10,343,0.9358600583090378,1.3352769679300291,0.6647230320699709,0.33527696793002915,0.0,0.95,-0.01413994169096211,10
0.05,11,285,0.9543859649122807,1.3473684210526315,0.6526315789473685,0.3473684210526316,0.0,0.95,0.004385964912280715,11
0.05,12,251,0.9482071713147411,1.3107569721115537,0.6892430278884463,0.3107569721115538,0.0,0.95,-0.0017928286852588737,12
