k,bin,n,mean_pred,observed
1,"(-0.001, 0.1]",797,0.055258631850496245,0.033877038895859475
1,"(0.1, 0.2]",367,0.14039137896387172,0.11444141689373297
1,"(0.2, 0.3]",129,0.2380911273054836,0.1937984496124031
1,"(0.3, 0.4]",50,0.3422983543786549,0.24
1,"(0.4, 0.5]",31,0.45722900546373985,0.3548387096774194
1,"(0.5, 0.6]",37,0.5540983435769639,0.3783783783783784
1,"(0.6, 0.7]",42,0.6540799439106897,0.7380952380952381
1,"(0.7, 0.8]",101,0.7573845278867024,0.8217821782178217
1,"(0.8, 0.9]",220,0.8546850443060968,0.9818181818181818
1,"(0.9, 1.0]",114,0.9258523371306345,1.0
2,"(-0.001, 0.1]",777,0.057166390138774545,0.03346203346203346
2,"(0.1, 0.2]",406,0.14208066995303925,0.11330049261083744
2,"(0.2, 0.3]",120,0.23669307812430887,0.19166666666666668
2,"(0.3, 0.4]",42,0.3425203873592012,0.23809523809523808
2,"(0.4, 0.5]",27,0.46017358296627103,0.4074074074074074
2,"(0.5, 0.6]",40,0.5593244533210384,0.4
2,"(0.6, 0.7]",39,0.6595906928203078,0.8205128205128205
2,"(0.7, 0.8]",93,0.753540602428049,0.8064516129032258
2,"(0.8, 0.9]",233,0.8526820838982154,0.9742489270386266
2,"(0.9, 1.0]",106,0.9269805368446532,1.0
3,"(-0.001, 0.1]",117,0.07732127122161325,0.07692307692307693
3,"(0.1, 0.2]",324,0.14728148724066903,0.14506172839506173
3,"(0.2, 0.3]",178,0.24379533948522328,0.14606741573033707
3,"(0.3, 0.4]",85,0.34530341146778915,0.25882352941176473
3,"(0.4, 0.5]",23,0.4629928579669222,0.391304347826087
3,"(0.5, 0.6]",32,0.54518830611418,0.4375
3,"(0.6, 0.7]",34,0.6580248492663284,0.7058823529411765
3,"(0.7, 0.8]",79,0.7550873721472606,0.7974683544303798
3,"(0.8, 0.9]",208,0.8562723147940496,0.9615384615384616
3,"(0.9, 1.0]",149,0.9347356285424847,0.9865771812080537
4,"(-0.001, 0.1]",115,0.07692457963241499,0.09565217391304348
4,"(0.1, 0.2]",237,0.147499860140324,0.11814345991561181
4,"(0.2, 0.3]",153,0.24130146539497918,0.1568627450980392
4,"(0.3, 0.4]",84,0.34020853464445305,0.20238095238095238
4,"(0.4, 0.5]",43,0.45099913059297525,0.4186046511627907
4,"(0.5, 0.6]",30,0.551099865909741,0.36666666666666664
4,"(0.6, 0.7]",39,0.659606695997544,0.6410256410256411
4,"(0.7, 0.8]",70,0.7552750334065728,0.7714285714285715
4,"(0.8, 0.9]",178,0.8544978459367041,0.9382022471910112
4,"(0.9, 1.0]",170,0.9335933832313473,1.0
5,"(-0.001, 0.1]",59,0.07634706186957214,0.11864406779661017
5,"(0.1, 0.2]",168,0.14708701296712284,0.11904761904761904
5,"(0.2, 0.3]",132,0.24813326171146055,0.1893939393939394
5,"(0.3, 0.4]",63,0.3445788285472763,0.2698412698412698
5,"(0.4, 0.5]",33,0.4448464914776531,0.45454545454545453
5,"(0.5, 0.6]",32,0.5536149093992508,0.34375
5,"(0.6, 0.7]",24,0.6573051984490218,0.4583333333333333
5,"(0.7, 0.8]",56,0.7613599611237125,0.8035714285714286
5,"(0.8, 0.9]",151,0.8551358702083643,0.9470198675496688
5,"(0.9, 1.0]",185,0.935961300439577,0.9783783783783784
6,"(-0.001, 0.1]",46,0.07331749285747359,0.06521739130434782
6,"(0.1, 0.2]",120,0.1476510299665737,0.2
6,"(0.2, 0.3]",94,0.2415516803882393,0.1276595744680851
6,"(0.3, 0.4]",51,0.34113195819720726,0.2549019607843137
6,"(0.4, 0.5]",26,0.44673562974388115,0.3076923076923077
6,"(0.5, 0.6]",32,0.5568342466545624,0.5
6,"(0.6, 0.7]",25,0.6565472370395262,0.44
6,"(0.7, 0.8]",49,0.7580671801413535,0.7755102040816326
6,"(0.8, 0.9]",139,0.854689412340847,0.9640287769784173
6,"(0.9, 1.0]",157,0.9343840948311359,0.9681528662420382
7,"(-0.001, 0.1]",16,0.07026009371890919,0.1875
7,"(0.1, 0.2]",77,0.15294250790729666,0.23376623376623376
7,"(0.2, 0.3]",77,0.2451597677049612,0.18181818181818182
7,"(0.3, 0.4]",42,0.3436728995845248,0.21428571428571427
7,"(0.4, 0.5]",20,0.45109886747015515,0.4
7,"(0.5, 0.6]",24,0.5552831181311604,0.3333333333333333
7,"(0.6, 0.7]",27,0.6493104475903293,0.6296296296296297
7,"(0.7, 0.8]",44,0.7595422935877728,0.8181818181818182
7,"(0.8, 0.9]",123,0.8562439264774232,0.9349593495934959
7,"(0.9, 1.0]",146,0.9356508071802546,0.9863013698630136
8,"(-0.001, 0.1]",7,0.05098536997091566,0.0
8,"(0.1, 0.2]",55,0.15128764229032432,0.18181818181818182
8,"(0.2, 0.3]",51,0.2446502532420923,0.27450980392156865
8,"(0.3, 0.4]",27,0.338373192172437,0.25925925925925924
8,"(0.4, 0.5]",19,0.44217089836679224,0.21052631578947367
8,"(0.5, 0.6]",15,0.5559107811462867,0.6
8,"(0.6, 0.7]",30,0.6409646971913611,0.5
8,"(0.7, 0.8]",52,0.7586806993226887,0.7692307692307693
8,"(0.8, 0.9]",104,0.8521820607447684,0.9519230769230769
8,"(0.9, 1.0]",119,0.9372362813350145,1.0
9,"(-0.001, 0.1]",5,0.041532216601644315,0.2
9,"(0.1, 0.2]",40,0.14745695978830467,0.2
9,"(0.2, 0.3]",44,0.24493106049904564,0.18181818181818182
