case_id,k,_n_nonterm,y,p
1-467153946,1,38,1,0.8678103465517283
1-467153946,2,38,1,0.861011127318146
1-467153946,3,38,1,0.9457477897000306
1-467153946,4,38,1,0.9303959533755951
1-467153946,5,38,1,0.9546717315003451
1-467153946,6,38,1,0.9206100503272348
1-467153946,7,38,1,0.9296900812560959
1-467153946,8,38,1,0.9364801796379353
1-467153946,9,38,1,0.9884422466996072
1-467153946,10,38,1,0.9811219913773153
1-467153946,11,38,1,0.9829255228260649
1-467153946,12,38,1,0.9784904904108594
1-530458987,1,28,1,0.9542089536794844
1-530458987,2,28,1,0.9628345905996061
1-530458987,3,28,1,0.984519405187726
1-530458987,4,28,1,0.9230482513960235
1-530458987,5,28,1,0.92349986522717
1-530458987,6,28,1,0.9229553305891812
1-530458987,7,28,1,0.9262214184941873
1-530458987,8,28,1,0.9251119476095742
1-530458987,9,28,1,0.9653171553697274
1-530458987,10,28,1,0.9757626264510253
1-530458987,11,28,1,0.9888568917724087
1-530458987,12,28,1,0.97948241277583
1-530838254,1,40,1,0.946509799100127
1-530838254,2,40,1,0.9211524300500096
1-530838254,3,40,1,0.9822012567798096
1-530838254,4,40,1,0.9233994269100807
1-530838254,5,40,1,0.8889047007730178
1-530838254,6,40,1,0.8901752380038528
1-530838254,7,40,1,0.8885764652925536
1-530838254,8,40,1,0.9580230404279196
1-530838254,9,40,1,0.9580568503262757
1-530838254,10,40,1,0.9472793607887904
1-530838254,11,40,1,0.9500994958875761
1-530838254,12,40,1,0.9780724626740185
1-543317665,1,21,1,0.9298890834655718
1-543317665,2,21,1,0.9294934021262787
1-543317665,3,21,1,0.9712657757962146
1-543317665,4,21,1,0.975114006129708
1-543317665,5,21,1,0.9484572280612327
1-543317665,6,21,1,0.9460930655111484
1-543317665,7,21,1,0.9447451635997557
1-543317665,8,21,1,0.9403457580165786
1-543317665,9,21,1,0.9572015791831793
1-543317665,10,21,1,0.9507099294992624
1-543317665,11,21,1,0.9305394543650294
1-543317665,12,21,1,0.9297452528545498
1-543979253,1,4,1,0.9331164227295253
1-543979253,2,4,1,0.9314756587548932
1-543979253,3,4,1,0.9445625140164494
1-543979253,4,4,1,0.945780959902183
1-565045794,1,29,1,0.9298349963788257
1-565045794,2,29,1,0.924037293747327
1-565045794,3,29,1,0.9023355984119111
1-565045794,4,29,1,0.9160067632213427
1-565045794,5,29,1,0.9326020136169669
1-565045794,6,29,1,0.9315491085425555
1-565045794,7,29,1,0.9363387949432624
1-565045794,8,29,1,0.8988195017673042
1-565045794,9,29,1,0.8986144259735172
1-565045794,10,29,1,0.8853910555719237
1-565045794,11,29,1,0.9052262165729931
1-565045794,12,29,1,0.8930454426000923
1-567358917,1,11,1,0.8762245033931464
