k,bin,n,mean_pred,observed
1,"(-0.001, 0.1]",780,0.046565823109357654,0.06025641025641026
1,"(0.1, 0.2]",265,0.14082240858072284,0.10566037735849057
1,"(0.2, 0.3]",143,0.2522836752452142,0.11888111888111888
1,"(0.3, 0.4]",112,0.3441181273169008,0.20535714285714285
1,"(0.4, 0.5]",80,0.4461900988368487,0.4125
1,"(0.5, 0.6]",69,0.54655180348779,0.5942028985507246
1,"(0.6, 0.7]",71,0.6531492117915947,0.7746478873239436
1,"(0.7, 0.8]",82,0.7548173093284812,0.7926829268292683
1,"(0.8, 0.9]",125,0.8542606508310323,0.912
1,"(0.9, 1.0]",161,0.9477107390623877,0.9440993788819876
2,"(-0.001, 0.1]",768,0.04880044357886839,0.06380208333333333
2,"(0.1, 0.2]",258,0.14163388448963943,0.09302325581395349
2,"(0.2, 0.3]",149,0.25188354785935474,0.12080536912751678
2,"(0.3, 0.4]",115,0.3455050563143193,0.1826086956521739
2,"(0.4, 0.5]",77,0.4458397183375336,0.35064935064935066
2,"(0.5, 0.6]",73,0.5497957007349372,0.6027397260273972
2,"(0.6, 0.7]",68,0.6490056955676317,0.75
2,"(0.7, 0.8]",86,0.7501071148171706,0.7906976744186046
2,"(0.8, 0.9]",129,0.8541726482992223,0.9224806201550387
2,"(0.9, 1.0]",160,0.9483366717844479,0.94375
3,"(-0.001, 0.1]",268,0.05507989602916386,0.11194029850746269
3,"(0.1, 0.2]",181,0.14343901169385573,0.16022099447513813
3,"(0.2, 0.3]",89,0.24125253745985692,0.19101123595505617
3,"(0.3, 0.4]",73,0.35385209826950026,0.2876712328767123
3,"(0.4, 0.5]",69,0.44689715304204847,0.2608695652173913
3,"(0.5, 0.6]",48,0.5498374596867057,0.4791666666666667
3,"(0.6, 0.7]",82,0.6480878940494348,0.5975609756097561
3,"(0.7, 0.8]",80,0.7489330881782665,0.7875
3,"(0.8, 0.9]",111,0.8582970864940355,0.8738738738738738
3,"(0.9, 1.0]",228,0.9506880787329663,0.9385964912280702
4,"(-0.001, 0.1]",227,0.0552582052655201,0.11013215859030837
4,"(0.1, 0.2]",172,0.1435832728711,0.18023255813953487
4,"(0.2, 0.3]",94,0.24924738475114297,0.1595744680851064
4,"(0.3, 0.4]",54,0.35145046605614777,0.2222222222222222
4,"(0.4, 0.5]",43,0.44641788038311925,0.32558139534883723
4,"(0.5, 0.6]",59,0.5532466256000209,0.5084745762711864
4,"(0.6, 0.7]",72,0.6466023531439223,0.6388888888888888
4,"(0.7, 0.8]",68,0.7510996400808696,0.7205882352941176
4,"(0.8, 0.9]",102,0.8591232229802347,0.8529411764705882
4,"(0.9, 1.0]",228,0.9529525860984748,0.9473684210526315
5,"(-0.001, 0.1]",168,0.05869239186966834,0.13095238095238096
5,"(0.1, 0.2]",101,0.14882614151791154,0.18811881188118812
5,"(0.2, 0.3]",73,0.24792539348233275,0.2191780821917808
5,"(0.3, 0.4]",40,0.3469223324079203,0.275
5,"(0.4, 0.5]",46,0.4525654303844699,0.32608695652173914
5,"(0.5, 0.6]",54,0.5607091582812583,0.5740740740740741
5,"(0.6, 0.7]",47,0.64538404978438,0.5531914893617021
5,"(0.7, 0.8]",60,0.7474778559860399,0.8
5,"(0.8, 0.9]",76,0.8588239760650371,0.8421052631578947
5,"(0.9, 1.0]",238,0.9544458315911053,0.9369747899159664
6,"(-0.001, 0.1]",112,0.057801349033318426,0.13392857142857142
6,"(0.1, 0.2]",105,0.14671938536420345,0.18095238095238095
6,"(0.2, 0.3]",49,0.2454780235329687,0.2857142857142857
6,"(0.3, 0.4]",29,0.35305274621562743,0.27586206896551724
6,"(0.4, 0.5]",44,0.44537865549595634,0.4318181818181818
6,"(0.5, 0.6]",37,0.5553269467243113,0.40540540540540543
6,"(0.6, 0.7]",35,0.6607290876853288,0.7714285714285715
6,"(0.7, 0.8]",48,0.7536648226129062,0.7708333333333334
6,"(0.8, 0.9]",78,0.8602459818145127,0.8589743589743589
6,"(0.9, 1.0]",202,0.9561060211354988,0.9405940594059405
7,"(-0.001, 0.1]",77,0.05951101340176852,0.12987012987012986
7,"(0.1, 0.2]",63,0.1468737767401878,0.30158730158730157
7,"(0.2, 0.3]",39,0.2414876598202278,0.2564102564102564
7,"(0.3, 0.4]",30,0.347829814324243,0.43333333333333335
7,"(0.4, 0.5]",32,0.44483296120173144,0.53125
7,"(0.5, 0.6]",26,0.56001820238529,0.5384615384615384
7,"(0.6, 0.7]",23,0.6536089876063427,0.5652173913043478
