case_id,k,_n_nonterm,y,p
1-467153946,1,38,1,0.5871503312359195
1-467153946,2,38,1,0.5931480797936919
1-467153946,3,38,1,0.7462584446885956
1-467153946,4,38,1,0.7539650773101725
1-467153946,5,38,1,0.7874637716240788
1-467153946,6,38,1,0.9932742485804134
1-467153946,7,38,1,0.9943399341820504
1-467153946,8,38,1,0.9918166280804065
1-467153946,9,38,1,0.9999999583082526
1-467153946,10,38,1,0.9999996414439101
1-467153946,11,38,1,0.9999998397755762
1-467153946,12,38,1,0.9999999053847025
1-530458987,1,28,1,0.9832784289049593
1-530458987,2,28,1,0.9836430897640436
1-530458987,3,28,1,0.9901040528653593
1-530458987,4,28,1,0.9979640502453312
1-530458987,5,28,1,0.9972087568577069
1-530458987,6,28,1,0.9982825205345777
1-530458987,7,28,1,0.9983509158480443
1-530458987,8,28,1,0.9987190927109432
1-530458987,9,28,1,0.9997835088396106
1-530458987,10,28,1,0.9998589779817568
1-530458987,11,28,1,0.9999133446425538
1-530458987,12,28,1,0.999902852028218
1-530838254,1,40,1,0.9928683245194327
1-530838254,2,40,1,0.9930438698034267
1-530838254,3,40,1,0.9981408392345769
1-530838254,4,40,1,0.9979566986484694
1-530838254,5,40,1,0.9937457697777484
1-530838254,6,40,1,0.9943712695175354
1-530838254,7,40,1,0.9949207262392867
1-530838254,8,40,1,0.9995918329334131
1-530838254,9,40,1,0.999697166956383
1-530838254,10,40,1,0.9996395023931852
1-530838254,11,40,1,0.9997326009274484
1-530838254,12,40,1,0.9999999932547519
1-543317665,1,21,1,0.9654737199459303
1-543317665,2,21,1,0.9661694051083716
1-543317665,3,21,1,0.978589092095602
1-543317665,4,21,1,0.9837668260889335
1-543317665,5,21,1,0.9836149373301952
1-543317665,6,21,1,0.977739237083267
1-543317665,7,21,1,0.9794142850887256
1-543317665,8,21,1,0.9738957278697321
1-543317665,9,21,1,0.9835908058916859
1-543317665,10,21,1,0.9876137989379866
1-543317665,11,21,1,0.9879499789700749
1-543317665,12,21,1,0.9916940260509784
1-543979253,1,4,1,0.9281585417907853
1-543979253,2,4,1,0.9297093013308929
1-543979253,3,4,1,0.9608910738253277
1-543979253,4,4,1,1.0
1-565045794,1,29,1,0.9030621306012759
1-565045794,2,29,1,0.9048977980541043
1-565045794,3,29,1,0.9245969785905503
1-565045794,4,29,1,0.9164254173524358
