cohort,k,n_k,base_rate_k,auc,auc_lo,auc_hi,ap,brier,ece,bias,precision,recall,f1
variable,1,1888,0.3045550847457627,0.9283572303718667,0.9129698721535743,0.9428652547413051,0.9104058651276848,0.0737265178168632,0.03413046460196187,0.0013907832207979021,0.9219712525667351,0.7808695652173913,0.8455743879472694
variable,2,1883,0.30377057886351566,0.9235496578173923,0.9057420853442253,0.9395757219040627,0.907639325583753,0.07366982980186522,0.036675943531574745,0.0041200455537326,0.919917864476386,0.7832167832167832,0.846081208687441
variable,3,1229,0.4564686737184703,0.9051135696521397,0.8863043201551443,0.9221725867575604,0.9227921413034544,0.10485950583227056,0.03134742558026721,-0.011297502957339011,0.9109730848861284,0.7843137254901961,0.842911877394636
variable,4,1119,0.4691689008042895,0.9080150713484046,0.8900936653013181,0.9267297849240713,0.9248717133209792,0.10606611031121337,0.035245094251909664,-0.005269496394546043,0.9010752688172043,0.7980952380952381,0.8464646464646465
variable,5,903,0.5260243632336655,0.914621249385145,0.894891828456531,0.9341315635009222,0.9407102355854097,0.10741839689489598,0.0411909485147113,-0.012098187657025708,0.9020979020979021,0.8147368421052632,0.8561946902654868
variable,6,739,0.5561569688768606,0.9141185983027713,0.8924531953999486,0.9340674352969435,0.9439530822607716,0.11065178804893128,0.051305903744391076,-0.01810651651617639,0.8994708994708994,0.8272506082725061,0.861850443599493
variable,7,596,0.6241610738255033,0.9058899769585254,0.8799286154441534,0.9288845799039691,0.9508536451463387,0.11407256661856031,0.06574383400530624,-0.037567167399113616,0.9205882352941176,0.8413978494623656,0.8792134831460674
variable,8,479,0.6617954070981211,0.9189839155664603,0.8947718693491435,0.9419631125379452,0.9637519992044721,0.11042538357933748,0.07801411961961642,-0.045460453455283927,0.9063545150501672,0.8548895899053628,0.8798701298701299
variable,9,415,0.6626506024096386,0.9147012987012988,0.8877396564337758,0.9396547968160871,0.9607868588563271,0.11217320402430642,0.08256539860403685,-0.041824928177408446,0.9147286821705426,0.8581818181818182,0.8855534709193246
variable,10,343,0.6559766763848397,0.9119397363465159,0.8823744910346902,0.9393154259077751,0.9581297060142824,0.11554988606034171,0.11307600820464227,-0.030251953957205962,0.8878923766816144,0.88,0.8839285714285714
variable,11,285,0.6771929824561403,0.916028384771345,0.8837754137883163,0.9469801319692938,0.9635706771340945,0.11004465274843395,0.09088612316470396,-0.04297209097105159,0.9,0.8860103626943006,0.8929503916449086
variable,12,251,0.6932270916334662,0.8958799820868786,0.8538645078081427,0.9332583576968255,0.9558046257586871,0.12146943075598772,0.07934098251431111,-0.04894419343941714,0.888235294117647,0.867816091954023,0.877906976744186
fixed,1,309,0.7508090614886731,0.9095387371249439,0.8765473587090198,0.9413362953087218,0.9716833681675632,0.11981508327497356,0.11645098606841849,-0.1083699316509719,0.9423076923076923,0.8448275862068966,0.8909090909090909
fixed,2,308,0.75,0.9086973632428178,0.8755730318596926,0.9389752934373042,0.9713911603843668,0.12113916536033684,0.11476394727632598,-0.10990427995656994,0.9466019417475728,0.8441558441558441,0.8924485125858124
fixed,3,308,0.75,0.90355315679991,0.8688176747083475,0.9345801183952094,0.970172380622029,0.11666512760523859,0.09572292835294427,-0.08774343432931159,0.9414634146341463,0.8354978354978355,0.8853211009174312
fixed,4,308,0.75,0.9026255130151234,0.8667151528409766,0.9348009175745259,0.9689025138843816,0.11499864887839653,0.08005074496296319,-0.07985423560943697,0.9333333333333333,0.8484848484848485,0.8888888888888888
fixed,5,307,0.749185667752443,0.9061264822134387,0.8706037582647025,0.9361123814718146,0.9698810732332644,0.10869975252519871,0.08462196950124218,-0.06866453187570509,0.9339622641509434,0.8608695652173913,0.8959276018099548
fixed,6,302,0.7450331125827815,0.9044444444444445,0.8664447669531743,0.9377866838023089,0.9693335982202413,0.11182010379143674,0.09132532563233216,-0.06947566179052882,0.9317073170731708,0.8488888888888889,0.8883720930232558
fixed,7,299,0.7424749163879598,0.898092898092898,0.8626085187046321,0.932907486260961,0.9669732917388999,0.11400375823857542,0.08455842150294263,-0.06577960379346955,0.927536231884058,0.8648648648648649,0.8951048951048951
fixed,8,293,0.7372013651877133,0.9115860990860991,0.8783306520180718,0.9414471692689491,0.9716973273730837,0.1094394542020005,0.10024986978073577,-0.06467308551581646,0.9211822660098522,0.8657407407407407,0.8926014319809069
fixed,9,286,0.7307692307692307,0.9098365749083452,0.8774282399380077,0.9402956712217456,0.969436177178807,0.11125112900731998,0.09362327904030161,-0.06443675818455806,0.9278350515463918,0.861244019138756,0.8933002481389578
fixed,10,272,0.7169117647058824,0.9072261072261073,0.8701557657912736,0.9396030859175188,0.9664170228739263,0.1152879992707821,0.1319827869096223,-0.05686138964751187,0.9095744680851063,0.8769230769230769,0.8929503916449086
fixed,11,259,0.7027027027027027,0.9069501926644785,0.8675446101738701,0.9435226362260947,0.9633821249098684,0.1142630274843901,0.09245794545499512,-0.05540888022962223,0.903954802259887,0.8791208791208791,0.8913649025069638
fixed,12,251,0.6932270916334662,0.8958799820868786,0.8538645078081427,0.9332583576968255,0.9558046257586871,0.12146943075598772,0.07934098251431111,-0.04894419343941714,0.888235294117647,0.867816091954023,0.877906976744186
