k,bin,n,mean_pred,observed
1,"(-0.001, 0.1]",880,0.07904766,0.053409090909090906
1,"(0.1, 0.2]",414,0.12988271,0.11835748792270531
1,"(0.2, 0.3]",49,0.24203141,0.2857142857142857
1,"(0.3, 0.4]",32,0.338301,0.21875
1,"(0.4, 0.5]",26,0.43742493,0.34615384615384615
1,"(0.5, 0.6]",25,0.5522707,0.56
1,"(0.6, 0.7]",32,0.65653497,0.71875
1,"(0.7, 0.8]",51,0.75232255,0.7843137254901961
1,"(0.8, 0.9]",132,0.84517205,0.946969696969697
1,"(0.9, 1.0]",247,0.9533893,1.0
2,"(-0.001, 0.1]",825,0.08099228,0.05696969696969697
2,"(0.1, 0.2]",461,0.12995167,0.10412147505422993
2,"(0.2, 0.3]",57,0.24028155,0.19298245614035087
2,"(0.3, 0.4]",34,0.34268814,0.38235294117647056
2,"(0.4, 0.5]",19,0.44885692,0.2631578947368421
2,"(0.5, 0.6]",26,0.5450275,0.6153846153846154
2,"(0.6, 0.7]",32,0.6473044,0.71875
2,"(0.7, 0.8]",55,0.7537952,0.7454545454545455
2,"(0.8, 0.9]",133,0.8485206,0.9548872180451128
2,"(0.9, 1.0]",241,0.95418894,1.0
3,"(-0.001, 0.1]",88,0.08871103,0.06818181818181818
3,"(0.1, 0.2]",455,0.13292478,0.13406593406593406
3,"(0.2, 0.3]",132,0.24401729,0.21212121212121213
3,"(0.3, 0.4]",45,0.34514105,0.37777777777777777
3,"(0.4, 0.5]",26,0.43737793,0.34615384615384615
3,"(0.5, 0.6]",22,0.5423636,0.36363636363636365
3,"(0.6, 0.7]",30,0.6529243,0.7
3,"(0.7, 0.8]",49,0.7558509,0.7959183673469388
3,"(0.8, 0.9]",131,0.8512439,0.9312977099236641
3,"(0.9, 1.0]",251,0.95476174,0.9960159362549801
4,"(-0.001, 0.1]",72,0.09202706,0.08333333333333333
4,"(0.1, 0.2]",384,0.13707998,0.13020833333333334
4,"(0.2, 0.3]",114,0.24279827,0.15789473684210525
4,"(0.3, 0.4]",55,0.34283257,0.36363636363636365
4,"(0.4, 0.5]",29,0.45488462,0.41379310344827586
4,"(0.5, 0.6]",21,0.5540965,0.42857142857142855
4,"(0.6, 0.7]",43,0.6432798,0.6976744186046512
4,"(0.7, 0.8]",49,0.7609263,0.8163265306122449
4,"(0.8, 0.9]",118,0.852458,0.9067796610169492
4,"(0.9, 1.0]",234,0.95273435,0.9957264957264957
5,"(-0.001, 0.1]",23,0.0909102,0.0
5,"(0.1, 0.2]",286,0.14132136,0.14685314685314685
5,"(0.2, 0.3]",92,0.24450566,0.21739130434782608
5,"(0.3, 0.4]",43,0.34065616,0.3488372093023256
5,"(0.4, 0.5]",30,0.44301674,0.36666666666666664
5,"(0.5, 0.6]",24,0.552476,0.2916666666666667
5,"(0.6, 0.7]",29,0.65432745,0.7241379310344828
5,"(0.7, 0.8]",38,0.7641314,0.7894736842105263
5,"(0.8, 0.9]",121,0.85168016,0.9256198347107438
5,"(0.9, 1.0]",217,0.95303243,1.0
6,"(-0.001, 0.1]",14,0.09340569,0.0
6,"(0.1, 0.2]",212,0.14052302,0.1650943396226415
6,"(0.2, 0.3]",74,0.24897565,0.16216216216216217
6,"(0.3, 0.4]",41,0.3457006,0.4146341463414634
6,"(0.4, 0.5]",20,0.44666195,0.35
6,"(0.5, 0.6]",20,0.56365645,0.45
6,"(0.6, 0.7]",28,0.65460455,0.6428571428571429
6,"(0.7, 0.8]",44,0.76445717,0.8409090909090909
6,"(0.8, 0.9]",108,0.8532657,0.9074074074074074
6,"(0.9, 1.0]",178,0.95280164,1.0
