case_id,k,_n_nonterm,y,p
1-467153946,1,38,1,0.95414627
1-467153946,2,38,1,0.95735425
1-467153946,3,38,1,0.96155304
1-467153946,4,38,1,0.9619792
1-467153946,5,38,1,0.96208274
1-467153946,6,38,1,0.9529872
1-467153946,7,38,1,0.9495667
1-467153946,8,38,1,0.9501443
1-467153946,9,38,1,0.97659653
1-467153946,10,38,1,0.97630286
1-467153946,11,38,1,0.97602457
1-467153946,12,38,1,0.97602457
1-530458987,1,28,1,0.9674559
1-530458987,2,28,1,0.96801645
1-530458987,3,28,1,0.9709452
1-530458987,4,28,1,0.9322824
1-530458987,5,28,1,0.934894
1-530458987,6,28,1,0.9207971
1-530458987,7,28,1,0.91715896
1-530458987,8,28,1,0.91886824
1-530458987,9,28,1,0.95404667
1-530458987,10,28,1,0.952091
1-530458987,11,28,1,0.9741323
1-530458987,12,28,1,0.97486985
1-530838254,1,40,1,0.9670126
1-530838254,2,40,1,0.9686946
1-530838254,3,40,1,0.97085696
1-530838254,4,40,1,0.9192682
1-530838254,5,40,1,0.9199575
1-530838254,6,40,1,0.92084277
1-530838254,7,40,1,0.9226388
1-530838254,8,40,1,0.9291426
1-530838254,9,40,1,0.9332131
1-530838254,10,40,1,0.92938113
1-530838254,11,40,1,0.9319152
1-530838254,12,40,1,0.97688204
1-543317665,1,21,1,0.95937234
1-543317665,2,21,1,0.95857185
1-543317665,3,21,1,0.96375805
1-543317665,4,21,1,0.96443295
1-543317665,5,21,1,0.9650621
1-543317665,6,21,1,0.96538234
1-543317665,7,21,1,0.96539736
1-543317665,8,21,1,0.96538234
1-543317665,9,21,1,0.9649929
1-543317665,10,21,1,0.9649537
1-543317665,11,21,1,0.96540546
1-543317665,12,21,1,0.96542615
1-543979253,1,4,1,0.96242857
1-543979253,2,4,1,0.96242213
1-543979253,3,4,1,0.9650382
1-543979253,4,4,1,0.97327775
1-565045794,1,29,1,0.96245825
1-565045794,2,29,1,0.96180725
1-565045794,3,29,1,0.9639954
1-565045794,4,29,1,0.96367604
1-565045794,5,29,1,0.964072
1-565045794,6,29,1,0.9654287
1-565045794,7,29,1,0.9651027
1-565045794,8,29,1,0.9657012
1-565045794,9,29,1,0.9660741
1-565045794,10,29,1,0.9663698
1-565045794,11,29,1,0.96535283
1-565045794,12,29,1,0.9661668
1-567358917,1,11,1,0.9582599
1-567358917,2,11,1,0.95783305
1-567358917,3,11,1,0.96414036
1-567358917,4,11,1,0.96443295
1-567358917,5,11,1,0.97018784
1-567358917,6,11,1,0.9703964
1-567358917,7,11,1,0.9703964
1-567358917,8,11,1,0.97021353
1-567358917,9,11,1,0.9765503
1-567358917,10,11,1,0.97828466
1-567358917,11,11,1,0.97155815
1-593737913,1,9,1,0.9573832
1-593737913,2,9,1,0.95649016
