cohort,k,n_k,base_rate_k,auc,auc_lo,auc_hi,ap,brier,ece,bias,precision,recall,f1
variable,1,1888,0.3045550847457627,0.7600708632736184,0.7372824278909466,0.7843677308433347,0.5731943477220763,0.17526061969410464,0.03599929327531955,0.01412312040239637,0.6349206349206349,0.34782608695652173,0.449438202247191
variable,2,1884,0.304140127388535,0.7602265965391513,0.736195216292192,0.7840159088053824,0.5795127816979837,0.17396284439721973,0.03492654287187094,0.009756393048461456,0.6401273885350318,0.3507853403141361,0.4532130777903044
variable,3,1235,0.4591093117408907,0.7126170938546188,0.683220141105192,0.7409294976231382,0.6832883645717625,0.21381245157769097,0.029508756574710856,-0.023459955871949798,0.6681922196796338,0.5149911816578483,0.5816733067729084
variable,4,1142,0.4798598949211909,0.724707537663742,0.6962746396595223,0.7535249243954572,0.7174869632788727,0.21027455341725143,0.028648960943971544,0.010474681260550296,0.6573556797020484,0.6441605839416058,0.6506912442396313
variable,5,923,0.5362946912242686,0.7304021523647692,0.6991728255965532,0.7627805462249152,0.7652629151802324,0.20871482203565306,0.02372864896546593,0.0017318503077536282,0.6736242884250474,0.7171717171717171,0.6947162426614482
variable,6,773,0.5756791720569211,0.7711770348040559,0.7373546689987657,0.8040865681962572,0.8287128714079219,0.1919405738672371,0.03971974769990319,0.004119583221217473,0.740041928721174,0.7932584269662921,0.7657266811279827
variable,7,626,0.6421725239616614,0.7722992181947406,0.7356824000409825,0.8093737213990927,0.8684346890347056,0.1834815429496042,0.05880490681543327,-0.014484413319264372,0.7551487414187643,0.8208955223880597,0.7866507747318237
variable,8,522,0.6896551724137931,0.8058127572016461,0.7691202918201038,0.8405097440101422,0.9039461805173216,0.16278789940856656,0.050972943590290254,-0.02271975665371078,0.8026315789473685,0.8472222222222222,0.8243243243243243
variable,9,467,0.7002141327623126,0.8085626911314985,0.7685654301110498,0.8486046611627107,0.908934829542642,0.15894924916085995,0.03418759728045993,-0.014361459602316641,0.8050847457627118,0.8715596330275229,0.8370044052863436
variable,10,403,0.707196029776675,0.8221825750817723,0.781471383883394,0.8648263433813893,0.9155979733459909,0.15156489198788975,0.04162355328427059,-0.014410354187781407,0.8108974358974359,0.887719298245614,0.847571189279732
variable,11,352,0.7386363636363636,0.8360367892976589,0.7900018121725743,0.8774114452924241,0.9343089821529096,0.13912210015139362,0.05508263768966903,-0.02227949054742403,0.8381294964028777,0.8961538461538462,0.8661710037174721
variable,12,309,0.7508090614886731,0.8306090461262875,0.7808238804484663,0.877294935335142,0.9383989829224768,0.1406355911129313,0.05837142990727256,-0.01837483711516587,0.8346774193548387,0.8922413793103449,0.8625
fixed,1,309,0.7508090614886731,0.66365315718764,0.5979913906611034,0.7263342679815336,0.8649061037056134,0.287120364959331,0.3296820938008503,-0.3296820938008503,0.9021739130434783,0.3577586206896552,0.5123456790123457
fixed,2,309,0.7508090614886731,0.6773399014778325,0.6126583552724887,0.7419211053317802,0.8639423039247078,0.2848707167916512,0.3287413301350229,-0.3287413301350229,0.8947368421052632,0.36637931034482757,0.5198776758409785
fixed,3,309,0.7508090614886731,0.7080161218092252,0.6425794248528167,0.7670237078967956,0.8799247672050998,0.23456508565511927,0.2530197028830214,-0.25185595874743943,0.891156462585034,0.5646551724137931,0.6912928759894459
fixed,4,309,0.7508090614886731,0.7222346618898343,0.6572927634275152,0.7817198476217103,0.8881182722068109,0.21281423371597905,0.21141352911983108,-0.21141352911983108,0.8588235294117647,0.6293103448275862,0.7263681592039801
fixed,5,309,0.7508090614886731,0.7269928347514555,0.6628575787913689,0.7875003236596044,0.8874604689281649,0.199219824558994,0.17591070671924497,-0.17591070671924497,0.841025641025641,0.7068965517241379,0.7681498829039812
fixed,6,309,0.7508090614886731,0.7493282579489475,0.6853903383535798,0.8077902653908089,0.9023417028762519,0.1840972747106562,0.1432345551604399,-0.1425649074650698,0.8551401869158879,0.7887931034482759,0.820627802690583
fixed,7,309,0.7508090614886731,0.7748544558889386,0.7178720109442381,0.8283161478948152,0.9155207610504752,0.16917662073124512,0.1124505803206013,-0.11109618130094795,0.8447488584474886,0.7974137931034483,0.8203991130820399
fixed,8,309,0.7508090614886731,0.7862180922525751,0.7305736186260043,0.8399941847940491,0.9152550449283038,0.16084864690446704,0.08670681336454589,-0.08538580656919664,0.8430493273542601,0.8103448275862069,0.8263736263736263
fixed,9,309,0.7508090614886731,0.8013322884012539,0.7455335732731361,0.8541275659179609,0.9226865455080614,0.15306163202441123,0.07440627682170435,-0.0662452406867808,0.8418803418803419,0.8491379310344828,0.8454935622317596
fixed,10,309,0.7508090614886731,0.8147671294223019,0.7621632095666937,0.8661291408787369,0.928793574499382,0.14708340447249713,0.06259858070550227,-0.050302768192437855,0.8416666666666667,0.8706896551724138,0.8559322033898306
fixed,11,309,0.7508090614886731,0.8286497984773846,0.776801639152047,0.8759554308527163,0.9354274897038999,0.14037526542724452,0.05560850325525772,-0.035128723118683286,0.8442622950819673,0.8879310344827587,0.865546218487395
fixed,12,309,0.7508090614886731,0.8306090461262875,0.7808238804484663,0.877294935335142,0.9383989829224768,0.1406355911129313,0.05837142990727256,-0.01837483711516587,0.8346774193548387,0.8922413793103449,0.8625
