cohort,k,n_k,base_rate_k,auc,auc_lo,auc_hi,ap,brier,ece,bias,precision,recall,f1
variable,1,1888,0.3045550847457627,0.7357429053942184,0.7112761590909797,0.7586870517128883,0.5118353351157379,0.20918435457368242,0.16008021865086833,0.16008021865086833,0.4926289926289926,0.697391304347826,0.5773938084953204
variable,2,1883,0.30377057886351566,0.7335809689928683,0.7104904998580569,0.7546403847181821,0.5098067492900447,0.20985661527976668,0.15931762367304947,0.15931762367304947,0.48567870485678705,0.6818181818181818,0.5672727272727273
variable,3,1229,0.4564686737184703,0.655162936159766,0.6260407988781734,0.685100749359444,0.5844392313719557,0.23262926350228014,0.04183191152141157,0.03320274426251764,0.5643086816720257,0.6256684491978609,0.5934065934065934
variable,4,1119,0.4691689008042895,0.6678787878787878,0.6355368848657195,0.6984989471542516,0.6183398980940453,0.22992510639037014,0.03561022837804064,0.014961236856902288,0.5992366412213741,0.5980952380952381,0.5986653956148713
variable,5,903,0.5260243632336655,0.6631136251844565,0.6268433675452321,0.6986551275001192,0.6650759552327233,0.2330997115075257,0.05454009667564596,-0.029168990091013296,0.6467889908256881,0.5936842105263158,0.6190998902305159
variable,6,739,0.5561569688768606,0.6882084149308646,0.6512968423718077,0.7281116862054426,0.7161049926600003,0.22862856699287404,0.09166139179318561,-0.07407558919616367,0.7189349112426036,0.5912408759124088,0.6488651535380507
variable,7,596,0.6241610738255033,0.662130376344086,0.6183411666463754,0.7047345328237358,0.7594830710108096,0.23814404191192562,0.13253229702888514,-0.1207075717200244,0.7526501766784452,0.5725806451612904,0.650381679389313
variable,8,479,0.6617954070981211,0.6914359154106788,0.6437427982726227,0.7354758061078672,0.8198678443159959,0.23343825343815708,0.1613270753042997,-0.1613270753042997,0.809322033898305,0.6025236593059937,0.6907775768535263
variable,9,415,0.6626506024096386,0.7324935064935065,0.6800499745868167,0.7821932022786074,0.8347279571111429,0.21877600203227685,0.15698572292151824,-0.1522569787570467,0.8211009174311926,0.6509090909090909,0.7261663286004056
variable,10,343,0.6559766763848397,0.7549152542372882,0.6990459624113767,0.80610742347498,0.8426276656404951,0.21098726149884023,0.15604183407122335,-0.14803003455722663,0.8324022346368715,0.6622222222222223,0.7376237623762376
variable,11,285,0.6771929824561403,0.7408200045055192,0.6742916900247738,0.8034172782917658,0.8394351973339185,0.2222348570431388,0.1779271013956636,-0.16594283166248436,0.8243243243243243,0.6321243523316062,0.7155425219941349
variable,12,251,0.6932270916334662,0.729064039408867,0.6585448708376885,0.7995200413953254,0.8306415786212982,0.22634516318007894,0.19701756031966125,-0.16895821245947493,0.8208955223880597,0.632183908045977,0.7142857142857143
fixed,1,309,0.7508090614886731,0.580217196596507,0.5085481043015925,0.6501004699441316,0.820777506931182,0.22195815653266598,0.16666338581766715,-0.16666338581766715,0.7777777777777778,0.7241379310344828,0.75
fixed,2,308,0.75,0.5681677629729578,0.49875955979722436,0.6404070365071796,0.8087050014468247,0.22405844784367765,0.15920511552943029,-0.15652583886406574,0.7601809954751131,0.7272727272727273,0.7433628318584071
fixed,3,308,0.75,0.6021251475796929,0.5283667001702271,0.6707679328310908,0.8245845459032491,0.23340411806149355,0.2122934674629786,-0.2122934674629786,0.8031088082901554,0.670995670995671,0.7311320754716981
fixed,4,308,0.75,0.6334963737561139,0.5642026022731182,0.7043088298435921,0.8367830648974566,0.23785831690594952,0.22849658923130917,-0.22849658923130917,0.8214285714285714,0.5974025974025974,0.6917293233082706
fixed,5,307,0.749185667752443,0.6413890457368718,0.5693526888876564,0.711600981691282,0.8381211904692282,0.2374838465225353,0.22634846298236952,-0.22634846298236952,0.813953488372093,0.6086956521739131,0.6965174129353234
fixed,6,302,0.7450331125827815,0.6644733044733045,0.5949446129057037,0.7310458482863536,0.8511773911390278,0.24800664453629664,0.249011031855369,-0.249011031855369,0.8523489932885906,0.5644444444444444,0.679144385026738
fixed,7,299,0.7424749163879598,0.6644436644436645,0.6003866058728511,0.7253255636223471,0.8618870987717112,0.2502765021371477,0.24897191701377888,-0.2480494284586488,0.8613138686131386,0.5315315315315315,0.6573816155988857
fixed,8,293,0.7372013651877133,0.6989538239538239,0.6339184182344559,0.7596012094069795,0.8692784453756845,0.24710061065633318,0.2511951277159303,-0.2511951277159303,0.8832116788321168,0.5601851851851852,0.6855524079320113
fixed,9,286,0.7307692307692307,0.7225501770956316,0.6548733977231653,0.7871988638770011,0.8688504959746898,0.23713974346542516,0.2357997769342992,-0.23290654528678878,0.8802816901408451,0.5980861244019139,0.7122507122507122
fixed,10,272,0.7169117647058824,0.7442557442557443,0.6769131345323277,0.8074666195404624,0.8635556913508313,0.2224992727515002,0.21782310726801785,-0.2065185108023736,0.8680555555555556,0.6410256410256411,0.7374631268436578
fixed,11,259,0.7027027027027027,0.7374768089053804,0.666184728164458,0.799823485993589,0.8462935906482077,0.22608138017589274,0.20458263135504537,-0.19035084229645563,0.8432835820895522,0.6208791208791209,0.7151898734177216
fixed,12,251,0.6932270916334662,0.729064039408867,0.6585448708376885,0.7995200413953254,0.8306415786212982,0.22634516318007894,0.19701756031966125,-0.16895821245947493,0.8208955223880597,0.632183908045977,0.7142857142857143
