k,bin,n,mean_pred,observed
1,"(-0.001, 0.1]",87,0.05527637943614733,0.04597701149425287
1,"(0.1, 0.2]",110,0.16118632660751667,0.09090909090909091
1,"(0.2, 0.3]",271,0.26068228445764013,0.11439114391143912
1,"(0.3, 0.4]",246,0.35073391345478955,0.21138211382113822
1,"(0.4, 0.5]",360,0.44959364136570856,0.21388888888888888
1,"(0.5, 0.6]",232,0.5506366146355292,0.4051724137931034
1,"(0.6, 0.7]",365,0.6490760503930263,0.4767123287671233
1,"(0.7, 0.8]",131,0.7439599418743427,0.6183206106870229
1,"(0.8, 0.9]",74,0.8482527528483796,0.6216216216216216
1,"(0.9, 1.0]",12,0.9185708416914683,0.5
2,"(-0.001, 0.1]",90,0.055493336611481106,0.044444444444444446
2,"(0.1, 0.2]",139,0.16194873237495735,0.10071942446043165
2,"(0.2, 0.3]",238,0.26263091516707765,0.1092436974789916
2,"(0.3, 0.4]",260,0.35060343007762107,0.2230769230769231
2,"(0.4, 0.5]",353,0.4486046350021166,0.22662889518413598
2,"(0.5, 0.6]",253,0.5511800902487975,0.41106719367588934
2,"(0.6, 0.7]",300,0.6507245961881793,0.43666666666666665
2,"(0.7, 0.8]",144,0.7380227970166874,0.6319444444444444
2,"(0.8, 0.9]",79,0.8434815692576779,0.620253164556962
2,"(0.9, 1.0]",27,0.9219650764573155,0.5555555555555556
3,"(-0.001, 0.1]",8,0.08066382510142066,0.125
3,"(0.1, 0.2]",65,0.14926621839111898,0.1076923076923077
3,"(0.2, 0.3]",85,0.2594360719835095,0.3176470588235294
3,"(0.3, 0.4]",204,0.3545750120265362,0.3333333333333333
3,"(0.4, 0.5]",245,0.45044100735972903,0.43673469387755104
3,"(0.5, 0.6]",330,0.5478165680946473,0.503030303030303
3,"(0.6, 0.7]",161,0.6438118946379159,0.6273291925465838
3,"(0.7, 0.8]",87,0.7444183954641836,0.6551724137931034
3,"(0.8, 0.9]",39,0.841877675333782,0.5897435897435898
3,"(0.9, 1.0]",5,0.9368660551830468,0.8
4,"(-0.001, 0.1]",9,0.07490969799258852,0.1111111111111111
4,"(0.1, 0.2]",54,0.16635979968295841,0.16666666666666666
4,"(0.2, 0.3]",133,0.25769323034235825,0.2857142857142857
4,"(0.3, 0.4]",199,0.3505726039220999,0.33668341708542715
4,"(0.4, 0.5]",200,0.44998057015477805,0.48
4,"(0.5, 0.6]",227,0.5441407890423823,0.5506607929515418
4,"(0.6, 0.7]",128,0.6455443443994417,0.59375
4,"(0.7, 0.8]",113,0.7448118240756783,0.6460176991150443
4,"(0.8, 0.9]",46,0.8344447103041531,0.6956521739130435
4,"(0.9, 1.0]",10,0.935291774078143,0.8
5,"(0.1, 0.2]",60,0.16105752680598184,0.23333333333333334
5,"(0.2, 0.3]",94,0.2564522210519148,0.3404255319148936
5,"(0.3, 0.4]",142,0.34782022711048177,0.4084507042253521
5,"(0.4, 0.5]",171,0.4529330901792332,0.52046783625731
5,"(0.5, 0.6]",166,0.5508448296845645,0.5662650602409639
5,"(0.6, 0.7]",121,0.6458935085920617,0.6694214876033058
5,"(0.7, 0.8]",86,0.7438051484380224,0.7093023255813954
5,"(0.8, 0.9]",45,0.8395321310049698,0.7111111111111111
5,"(0.9, 1.0]",18,0.9282703312260048,0.7777777777777778
6,"(-0.001, 0.1]",11,0.08498410656775773,0.09090909090909091
6,"(0.1, 0.2]",47,0.16035656218572905,0.2553191489361702
6,"(0.2, 0.3]",104,0.24684010054314795,0.38461538461538464
6,"(0.3, 0.4]",130,0.35067965836677467,0.4846153846153846
6,"(0.4, 0.5]",109,0.45047402392547425,0.47706422018348627
6,"(0.5, 0.6]",119,0.5498501401993766,0.7226890756302521
6,"(0.6, 0.7]",83,0.645693663693325,0.6626506024096386
6,"(0.7, 0.8]",75,0.7480117289374415,0.6933333333333334
6,"(0.8, 0.9]",52,0.8442782020604664,0.8461538461538461
6,"(0.9, 1.0]",9,0.9330082654768326,0.6666666666666666
7,"(-0.001, 0.1]",11,0.06986560709063966,0.0
