log,k,n,base_rate,auc_ordered,auc_multiset,auc_last,delta_order,delta_lo,delta_hi,n_distinct_ordered,n_distinct_multiset,insample_delta_order
uci_servicenow,1,23102,0.38174184053328714,0.5611142934256953,0.5611142934256953,0.5611142934256953,0.0,0.0,0.0,4,4,0.0
uci_servicenow,2,16643,0.494201766508442,0.5328609918967966,0.532866913496264,0.5290865860606992,-5.921599467439975e-06,-3.9445930625761626e-05,3.127636574833115e-05,14,13,5.574969254684703e-06
uci_servicenow,3,12476,0.5791118948380891,0.5600564334755153,0.5617287727036999,0.5281224798835483,-0.0016723392281846605,-0.0028568201649440683,-0.0005953497884458236,37,28,0.0002726651506155253
uci_servicenow,4,9434,0.6387534449862201,0.5787327683325308,0.576964876575528,0.5358304789184271,0.0017678917570028707,-0.0008406624336399049,0.004451523499824974,77,47,0.003783536210069327
uci_servicenow,5,7245,0.6872325741890959,0.5752120512507342,0.5707602557395961,0.5351463348180628,0.004451795511138057,-0.0002311176220271991,0.009664322760138561,127,74,0.00845173736755278
uci_servicenow,6,5423,0.7366771159874608,0.5685459415305546,0.5730851414408066,0.5244408276452007,-0.004539199910251979,-0.011327827941560967,0.0016269196915012349,170,97,0.010006117590966368
uci_servicenow,7,4113,0.7794796985168977,0.5636425569202178,0.56413587808416,0.5286535513277544,-0.0004933211639421842,-0.01097279808786316,0.009895858439218957,230,120,0.022272530625804254
uci_servicenow,8,3013,0.8184533687354796,0.5617943334652925,0.5605388679088622,0.518397926609939,0.0012554655564303019,-0.01571201249702337,0.015593581336752198,287,140,0.0450644301809916
bpi2013,1,7545,0.30987408880053013,0.5080596988688814,0.5080596988688814,0.5080596988688814,0.0,0.0,0.0,2,2,0.0
bpi2013,2,7533,0.3095712199654852,0.5134716061002914,0.5132449954372806,0.5017775559720505,0.00022661066301077337,-0.00012024758485570941,0.0005796408162107742,4,3,0.00017899645239083384
bpi2013,4,4523,0.48706610656643823,0.525732445567956,0.5116618991344092,0.5176439455601296,0.014070546433546771,-0.0003133735828366813,0.028982783025210734,15,5,0.025660443439197378
bpi2013,6,3155,0.58256735340729,0.5522201511497344,0.5230211274180528,0.5075391031980719,0.029199023731681595,0.0075091850579131906,0.04766776376375789,40,6,0.041076225106851605
bpi2013,8,2191,0.6563213144682793,0.5313807357496302,0.5097643731979823,0.48483534568263803,0.021616362551647894,-0.0060600705717419505,0.05389388339952455,96,8,0.08586700947715864
bpi2013,10,1611,0.6952203600248293,0.5546406750072738,0.5328811463485598,0.46427753127727667,0.021759528658714,-0.010737406788420218,0.052900870752238045,202,9,0.11123617980797207
bpi2013,12,1193,0.7401508801341157,0.5248529572936835,0.5711120447155956,0.5005881708252657,-0.04625908742191209,-0.08357855880414086,-0.006662958038771691,325,9,0.16710079275198186
