calibrator,cohort,k,n_k,base_rate_k,mean_pred,auc,brier,ece,mce,bias
uncalibrated,variable,1,5707,0.23199579463816367,0.23639842909777464,0.7482317185390134,0.15357864107441266,0.03299231724180831,0.18106074816666673,0.004402634459611012
uncalibrated,variable,2,3587,0.35098968497351546,0.3351159128398941,0.7121745767245591,0.19691028566438626,0.06542184257688877,0.23147416133802823,-0.015873772133621417
uncalibrated,variable,3,2555,0.43796477495107633,0.43504819562661445,0.7618238155336664,0.1906402959329397,0.06624200619726031,0.20280943359649123,-0.0029165793244618
uncalibrated,variable,4,1829,0.5079278294149808,0.5031618785013668,0.7901758162899175,0.1846407746743156,0.06034153817441227,0.20873879765168538,-0.004765950913614004
uncalibrated,variable,5,1346,0.5638930163447251,0.5793616357800891,0.8264662774699069,0.16866045417227538,0.061562520282318,0.2171985103773585,0.01546861943536406
uncalibrated,variable,6,934,0.6231263383297645,0.6293430190503212,0.8442478912839737,0.15999893588534247,0.05401342658137048,0.19632979441791046,0.006216680720556766
uncalibrated,variable,7,682,0.6730205278592375,0.6833359452331378,0.86594956866653,0.144946803132485,0.063527915558651,0.23601261464583334,0.010315417373900272
uncalibrated,variable,8,478,0.7301255230125523,0.7245886291087866,0.8873858865862597,0.1270638526382228,0.06726328921757323,0.2279671946666666,-0.005536893903765706
uncalibrated,fixed,1,478,0.7301255230125523,0.3209898951401674,0.6184669376513183,0.3818571457395415,0.42523591301882846,0.5572301423287671,-0.409135627872385
uncalibrated,fixed,2,478,0.7301255230125523,0.3814220334435146,0.6311499078207947,0.3467652307472303,0.3732213362635983,0.49388996645070427,-0.34870348956903763
uncalibrated,fixed,3,478,0.7301255230125523,0.45642091963807535,0.6924768441394016,0.28769502511567857,0.29614823329079487,0.4447961498461539,-0.273704603374477
uncalibrated,fixed,4,478,0.7301255230125523,0.5016790821004183,0.7250394260456231,0.2549956483933074,0.2526550755983264,0.4415253626833333,-0.22844644091213392
uncalibrated,fixed,5,478,0.7301255230125523,0.5664596346338912,0.7718398080895582,0.21231615148330069,0.18172013553347277,0.37644832526666666,-0.16366588837866114
uncalibrated,fixed,6,478,0.7301255230125523,0.6139401770669456,0.8030252548810555,0.1856959384104275,0.13553799188702928,0.4233963993913043,-0.1161853459456067
uncalibrated,fixed,7,478,0.7301255230125523,0.6786856452259413,0.8507585349059328,0.14942829004735864,0.07540439694979081,0.32037210362162166,-0.05143987778661089
uncalibrated,fixed,8,478,0.7301255230125523,0.7245886291087866,0.8873858865862597,0.1270638526382228,0.06726328921757323,0.2279671946666666,-0.005536893903765706
platt,variable,1,5707,0.23199579463816367,0.2703806440832876,0.7482317185390134,0.1586338398514281,0.059539635885896613,0.2557630678196099,0.038384849445123964
platt,variable,2,3587,0.35098968497351546,0.38005944722128937,0.7121745767245591,0.20299521327748657,0.0840771509493676,0.34160868553324775,0.029069762247773853
platt,variable,3,2555,0.43796477495107633,0.4823692141486888,0.7618238155336664,0.19858542996662953,0.09048983515579474,0.317589452703155,0.04440443919761246
platt,variable,4,1829,0.5079278294149808,0.5511646148631536,0.7901758162899175,0.1917294595868864,0.09192974798867892,0.2538767484937756,0.04323678544817258
platt,variable,5,1346,0.5638930163447251,0.6242687898406252,0.8264662774699069,0.1775950581434368,0.10052630293555141,0.27192733333881536,0.060375773495900106
platt,variable,6,934,0.6231263383297645,0.6701320226130482,0.8442478912839737,0.1665955514081474,0.09162941445134107,0.23115301507442082,0.047005684283283666
platt,variable,7,682,0.6730205278592375,0.7203660942370727,0.86594956866653,0.15287180186313884,0.0938032070392541,0.258496122803188,0.04734556637783509
platt,variable,8,478,0.7301255230125523,0.7561956108077929,0.8873858865862597,0.1323006080794518,0.08474765450890537,0.29096623797171606,0.026070087795240494
platt,fixed,1,478,0.7301255230125523,0.37019486019054987,0.6184669376513183,0.3498114571287417,0.3802339360843947,0.5295627335834383,-0.35993066282200237
platt,fixed,2,478,0.7301255230125523,0.4306546031794691,0.6311499078207947,0.3186684344788995,0.33728938246374945,0.4784569580046616,-0.2994709198330832
platt,fixed,3,478,0.7301255230125523,0.5046888273218761,0.6924768441394016,0.2644571359400353,0.25669041421159505,0.4285813376355031,-0.22543669569067623
platt,fixed,4,478,0.7301255230125523,0.5503980961874135,0.7250394260456231,0.23549603243684458,0.21027677893770705,0.4627722543848561,-0.1797274268251388
platt,fixed,5,478,0.7301255230125523,0.6120178955779944,0.7718398080895582,0.19924689746442023,0.15105175216823036,0.5035317603637228,-0.11810762743455783
