k,bin,n,mean_pred,observed
1,"(-0.001, 0.1]",1840,0.05048733,0.08043478260869565
1,"(0.1, 0.2]",1259,0.14697464,0.14773629864972201
1,"(0.2, 0.3]",845,0.24833849,0.2698224852071006
1,"(0.3, 0.4]",704,0.34891415,0.359375
1,"(0.4, 0.5]",454,0.4439384,0.3854625550660793
1,"(0.5, 0.6]",237,0.54174376,0.4050632911392405
1,"(0.6, 0.7]",126,0.647805,0.5396825396825397
1,"(0.7, 0.8]",103,0.7535163,0.6116504854368932
1,"(0.8, 0.9]",60,0.8477274,0.6666666666666666
1,"(0.9, 1.0]",79,0.9577968,0.8481012658227848
2,"(-0.001, 0.1]",623,0.05195536,0.16853932584269662
2,"(0.1, 0.2]",580,0.15284926,0.19137931034482758
2,"(0.2, 0.3]",704,0.24836685,0.3025568181818182
2,"(0.3, 0.4]",619,0.34785992,0.3683360258481422
2,"(0.4, 0.5]",336,0.44450474,0.43154761904761907
2,"(0.5, 0.6]",210,0.5442979,0.42857142857142855
2,"(0.6, 0.7]",142,0.6540094,0.4225352112676056
2,"(0.7, 0.8]",101,0.75220084,0.594059405940594
2,"(0.8, 0.9]",60,0.8442888,0.7166666666666667
2,"(0.9, 1.0]",212,0.97976124,0.9622641509433962
3,"(-0.001, 0.1]",322,0.053536367,0.19875776397515527
3,"(0.1, 0.2]",294,0.15509257,0.2108843537414966
3,"(0.2, 0.3]",409,0.25253263,0.29095354523227385
3,"(0.3, 0.4]",402,0.3470849,0.3706467661691542
3,"(0.4, 0.5]",297,0.4458917,0.4107744107744108
3,"(0.5, 0.6]",164,0.5471597,0.43902439024390244
3,"(0.6, 0.7]",114,0.6501779,0.4473684210526316
3,"(0.7, 0.8]",99,0.75137573,0.6060606060606061
3,"(0.8, 0.9]",88,0.8472996,0.6818181818181818
3,"(0.9, 1.0]",366,0.9854245,0.9836065573770492
4,"(-0.001, 0.1]",178,0.055306144,0.2640449438202247
4,"(0.1, 0.2]",162,0.15256105,0.2037037037037037
4,"(0.2, 0.3]",231,0.25313935,0.2943722943722944
4,"(0.3, 0.4]",272,0.35006994,0.33088235294117646
4,"(0.4, 0.5]",227,0.44680452,0.4669603524229075
4,"(0.5, 0.6]",136,0.55106395,0.49264705882352944
4,"(0.6, 0.7]",90,0.6473065,0.4666666666666667
4,"(0.7, 0.8]",79,0.74828273,0.6835443037974683
4,"(0.8, 0.9]",69,0.84580666,0.6666666666666666
4,"(0.9, 1.0]",385,0.98682487,0.9766233766233766
5,"(-0.001, 0.1]",108,0.055583462,0.24074074074074073
5,"(0.1, 0.2]",98,0.15777569,0.22448979591836735
5,"(0.2, 0.3]",121,0.25217995,0.2892561983471074
5,"(0.3, 0.4]",162,0.34930402,0.3395061728395062
5,"(0.4, 0.5]",148,0.44684952,0.41216216216216217
5,"(0.5, 0.6]",111,0.5474909,0.44144144144144143
5,"(0.6, 0.7]",75,0.64794743,0.5866666666666667
5,"(0.7, 0.8]",53,0.7455004,0.5283018867924528
5,"(0.8, 0.9]",57,0.84714055,0.7192982456140351
5,"(0.9, 1.0]",413,0.98778427,0.9636803874092009
6,"(-0.001, 0.1]",67,0.05740155,0.2537313432835821
6,"(0.1, 0.2]",46,0.14668633,0.32608695652173914
6,"(0.2, 0.3]",103,0.24929482,0.2524271844660194
6,"(0.3, 0.4]",78,0.35663074,0.34615384615384615
6,"(0.4, 0.5]",91,0.4440448,0.45054945054945056
6,"(0.5, 0.6]",58,0.54426175,0.5172413793103449
6,"(0.6, 0.7]",51,0.65056556,0.5882352941176471
6,"(0.7, 0.8]",39,0.75160104,0.6153846153846154
6,"(0.8, 0.9]",46,0.8464233,0.6956521739130435
6,"(0.9, 1.0]",355,0.9868065,0.9577464788732394
7,"(-0.001, 0.1]",48,0.055654053,0.2916666666666667
7,"(0.1, 0.2]",27,0.1546093,0.3333333333333333
7,"(0.2, 0.3]",48,0.2501811,0.2916666666666667
7,"(0.3, 0.4]",58,0.35227877,0.3448275862068966
7,"(0.4, 0.5]",42,0.4490767,0.42857142857142855
7,"(0.5, 0.6]",49,0.54636836,0.46938775510204084
7,"(0.6, 0.7]",35,0.6440849,0.4857142857142857
7,"(0.7, 0.8]",32,0.75208145,0.59375
7,"(0.8, 0.9]",36,0.852174,0.6666666666666666
7,"(0.9, 1.0]",307,0.98966545,0.9804560260586319
8,"(-0.001, 0.1]",36,0.063580975,0.2777777777777778
8,"(0.1, 0.2]",17,0.14395335,0.35294117647058826
8,"(0.2, 0.3]",20,0.24920046,0.45
8,"(0.3, 0.4]",34,0.34891525,0.35294117647058826
8,"(0.4, 0.5]",29,0.44616282,0.3448275862068966
8,"(0.5, 0.6]",29,0.5462729,0.4827586206896552
8,"(0.6, 0.7]",20,0.65087533,0.75
8,"(0.7, 0.8]",15,0.7613005,0.5333333333333333
8,"(0.8, 0.9]",30,0.85428023,0.7333333333333333
8,"(0.9, 1.0]",248,0.99162924,0.9798387096774194
