case_id,k,_n_nonterm,y,p
INC0000066,1,2,0,0.082699604
INC0000066,2,2,0,0.06521064
INC0000076,1,1,0,0.051184405
INC0000084,1,4,1,0.7714683
INC0000084,2,4,1,0.7609753
INC0000084,3,4,1,0.810555
INC0000084,4,4,1,0.98743236
INC0000098,1,4,0,0.08148735
INC0000098,2,4,0,0.07470922
INC0000098,3,4,0,0.09663387
INC0000098,4,4,0,0.083907776
INC0000102,1,16,1,0.104623474
INC0000102,2,16,1,0.21036223
INC0000102,3,16,1,0.2628194
INC0000102,4,16,1,0.3039788
INC0000102,5,16,1,0.30824184
INC0000102,6,16,1,0.3745856
INC0000102,7,16,1,0.26741517
INC0000102,8,16,1,0.8507198
INC0000104,1,5,1,0.09211894
INC0000104,2,5,1,0.8835335
INC0000104,3,5,1,0.9232741
INC0000104,4,5,1,0.93509495
INC0000104,5,5,1,0.9099207
INC0000110,1,2,0,0.10766442
INC0000110,2,2,0,0.114269525
INC0000116,1,2,0,0.071765214
INC0000116,2,2,0,0.17063442
INC0000124,1,2,0,0.12525527
INC0000124,2,2,0,0.13148965
INC0000125,1,5,0,0.077931605
INC0000125,2,5,0,0.07178709
INC0000125,3,5,0,0.13931878
INC0000125,4,5,0,0.12966318
INC0000125,5,5,0,0.13153686
INC0000129,1,11,1,0.092051014
INC0000129,2,11,1,0.20851722
INC0000129,3,11,1,0.3940399
INC0000129,4,11,1,0.4267047
INC0000129,5,11,1,0.9222653
INC0000129,6,11,1,0.9312381
INC0000129,7,11,1,0.9986286
INC0000129,8,11,1,0.99924445
INC0000149,1,2,0,0.0750778
INC0000149,2,2,0,0.076376684
INC0000161,1,9,1,0.10704947
INC0000161,2,9,1,0.09471102
INC0000161,3,9,1,0.9314478
INC0000161,4,9,1,0.95877314
INC0000161,5,9,1,0.9222198
INC0000161,6,9,1,0.2657197
INC0000161,7,9,1,0.40174797
INC0000161,8,9,1,0.39340442
INC0000192,1,1,0,0.19657254
INC0000232,1,11,1,0.39749384
INC0000232,2,11,1,0.38870203
INC0000232,3,11,1,0.4698816
INC0000232,4,11,1,0.58115125
INC0000232,5,11,1,0.74934345
INC0000232,6,11,1,0.7637458
INC0000232,7,11,1,0.6587469
INC0000232,8,11,1,0.97266936
INC0000237,1,2,0,0.19519188
INC0000237,2,2,0,0.2962742
INC0000246,1,7,1,0.18513612
INC0000246,2,7,1,0.21313006
INC0000246,3,7,1,0.2130812
INC0000246,4,7,1,0.35304907
INC0000246,5,7,1,0.830518
INC0000246,6,7,1,0.73978287
INC0000246,7,7,1,0.73637366
INC0000250,1,14,1,0.26746148
INC0000250,2,14,1,0.18187681
INC0000250,3,14,1,0.40044606
INC0000250,4,14,1,0.388051
INC0000250,5,14,1,0.43175706
INC0000250,6,14,1,0.8068026
INC0000250,7,14,1,0.90709054
INC0000250,8,14,1,0.90620965
INC0000266,1,10,1,0.24126579
INC0000266,2,10,1,0.47631958
INC0000266,3,10,1,0.58616054
INC0000266,4,10,1,0.56851935
INC0000266,5,10,1,0.5637624
INC0000266,6,10,1,0.8250867
INC0000266,7,10,1,0.9085157
INC0000266,8,10,1,0.8863525
INC0000272,1,10,1,0.26040706
INC0000272,2,10,1,0.34450868
INC0000272,3,10,1,0.32033774
INC0000272,4,10,1,0.93816435
INC0000272,5,10,1,0.9254527
INC0000272,6,10,1,0.9212907
INC0000272,7,10,1,0.90487015
INC0000272,8,10,1,0.9055688
INC0000283,1,7,0,0.24082148
INC0000283,2,7,0,0.22133851
INC0000283,3,7,0,0.23760246
INC0000283,4,7,0,0.21611604
INC0000283,5,7,0,0.13082758
INC0000283,6,7,0,0.14902219
INC0000283,7,7,0,0.14148757
INC0000292,1,8,0,0.23186247
INC0000292,2,8,0,0.2745818
INC0000292,3,8,0,0.30123237
INC0000292,4,8,0,0.34897447
INC0000292,5,8,0,0.34898442
INC0000292,6,8,0,0.34898442
INC0000292,7,8,0,0.30272666
INC0000292,8,8,0,0.14607865
INC0000317,1,4,1,0.8102895
INC0000317,2,4,1,0.8031128
INC0000317,3,4,1,0.8580289
INC0000317,4,4,1,0.98373556
INC0000348,1,5,1,0.620325
INC0000348,2,5,1,0.5921523
