k,feature,mean_abs_shap
1,num__num__k,0.0010567533317953348
1,num__num__n_distinct_activities,0.0075431447476148605
1,num__num__n_distinct_resources,0.013241486623883247
1,num__num__n_resource_changes,0.007585342973470688
1,num__num__n_activity_repeats,0.005488414783030748
1,num__num__n_waiting_events,0.0024672476574778557
1,num__num__frac_waiting,0.0023974378127604723
1,num__num__last_gap_h,0.0010311991209164262
1,num__num__max_gap_h,0.08865869790315628
1,num__num__elapsed_h,0.5667743682861328
1,num__num__log_elapsed_h,0.10197662562131882
1,num__num__mean_gap_h,0.010763122700154781
1,num__num__hour_of_k,0.04853551834821701
1,num__num__dow_of_k,0.04585741460323334
1,num__num__arrivals_24h,0.13294267654418945
1,num__num__arrivals_7d,0.4417266547679901
1,num__static__opened_hour,0.05489648878574371
1,num__static__opened_dow,0.15527662634849548
1,num__static__opened_is_offhours,0.005992733873426914
1,num__dyn_num__reassignment_count,0.01095549575984478
1,num__dyn_num__reopen_count,0.00019473338034003973
1,num__dyn_num__sys_mod_count,0.0003145502123516053
1,num__dyn_cat__assigned_to_known,0.05461738258600235
1,num__static__knowledge,0.3024113178253174
1,num__static__u_priority_confirmation,0.0
1,num__static__cmdb_ci_known,8.252360566984862e-05
1,cat__dyn_cat__priority_1 - Critical,0.024097643792629242
1,cat__dyn_cat__priority_2 - High,0.06515057384967804
1,cat__dyn_cat__priority_3 - Moderate,0.04124538600444794
1,cat__dyn_cat__priority_4 - Low,0.10575791448354721
1,cat__static__category_Category 13,0.0015570849645882845
1,cat__static__category_Category 17,0.00017949404718820006
1,cat__static__category_Category 19,0.00010972705786116421
1,cat__static__category_Category 20,0.009191066958010197
1,cat__static__category_Category 22,0.0
1,cat__static__category_Category 23,0.002024981891736388
1,cat__static__category_Category 24,0.010917918756604195
1,cat__static__category_Category 26,0.015124993398785591
1,cat__static__category_Category 28,0.0022636500652879477
1,cat__static__category_Category 32,0.004125779494643211
1,cat__static__category_Category 34,9.214659803546965e-05
1,cat__static__category_Category 35,0.00011829828144982457
1,cat__static__category_Category 37,0.0027115470729768276
1,cat__static__category_Category 38,7.217770416900748e-06
1,cat__static__category_Category 40,0.0005304401856847107
1,cat__static__category_Category 41,0.0
1,cat__static__category_Category 42,0.0033561610616743565
1,cat__static__category_Category 43,0.002260924782603979
1,cat__static__category_Category 44,0.00016197511286009103
1,cat__static__category_Category 45,0.004798635374754667
1,cat__static__category_Category 46,0.03981952741742134
1,cat__static__category_Category 51,0.0008520604460500181
1,cat__static__category_Category 53,0.0017684538615867496
1,cat__static__category_Category 55,0.0001496112090535462
1,cat__static__category_Category 57,0.006185813341289759
1,cat__static__category_Category 61,0.003477990860119462
1,cat__static__category_Category 63,0.0
1,cat__static__category_Category 7,0.0
1,cat__static__category_Category 8,0.00031899000168778
1,cat__static__category_Category 9,0.012171778827905655
1,cat__static__category_infrequent_sklearn,0.001769953640177846
1,cat__static__subcategory_Subcategory 103,0.007444011978805065
1,cat__static__subcategory_Subcategory 107,0.0
1,cat__static__subcategory_Subcategory 114,0.00035905762342736125
1,cat__static__subcategory_Subcategory 117,0.0014669958036392927
1,cat__static__subcategory_Subcategory 123,0.0005321427597664297
1,cat__static__subcategory_Subcategory 125,2.743391269177664e-05
1,cat__static__subcategory_Subcategory 130,4.693062510341406e-05
1,cat__static__subcategory_Subcategory 134,7.579878729302436e-05
1,cat__static__subcategory_Subcategory 135,0.0032572895288467407
1,cat__static__subcategory_Subcategory 150,0.008187007158994675
1,cat__static__subcategory_Subcategory 154,3.391009522601962e-05
1,cat__static__subcategory_Subcategory 16,9.417487308382988e-05
1,cat__static__subcategory_Subcategory 163,0.004170050844550133
1,cat__static__subcategory_Subcategory 164,0.0012603740906342864
1,cat__static__subcategory_Subcategory 168,0.0001798513694666326
1,cat__static__subcategory_Subcategory 170,0.0008686635410413146
1,cat__static__subcategory_Subcategory 174,0.011218800209462643
1,cat__static__subcategory_Subcategory 175,0.020440243184566498
1,cat__static__subcategory_Subcategory 183,0.0012100026942789555
1,cat__static__subcategory_Subcategory 185,0.004022905603051186
1,cat__static__subcategory_Subcategory 200,0.0021410470362752676
1,cat__static__subcategory_Subcategory 202,3.878861389239319e-05
1,cat__static__subcategory_Subcategory 215,0.0
1,cat__static__subcategory_Subcategory 220,0.003808829002082348
1,cat__static__subcategory_Subcategory 223,0.007742900401353836
1,cat__static__subcategory_Subcategory 224,0.00023506919387727976
1,cat__static__subcategory_Subcategory 229,0.001820978126488626
