cohort,k,n_k,base_rate_k,auc,auc_lo,auc_hi,ap,brier,ece,bias,precision,recall,f1
variable,1,5707,0.23199579463816367,0.731942040553553,0.7171892846366972,0.7472726542706383,0.4829149269018328,0.1549354839040559,0.02483278903934415,0.008751402157088637,0.572744014732965,0.2348942598187311,0.3331547937868238
variable,2,3587,0.35098968497351546,0.7203584364397643,0.7022262314029746,0.7375780511209473,0.6291638853530123,0.19547968608349464,0.06780980786902316,-0.04382908091444564,0.6547619047619048,0.3494837172359015,0.4557224236147074
variable,3,2555,0.43796477495107633,0.7615503048135397,0.7445716244504065,0.7798227563985283,0.7586502988627373,0.19459379894353043,0.07307735448542846,-0.05442696910321662,0.760778859527121,0.48882931188561213,0.5952121871599565
variable,4,1829,0.5079278294149808,0.7903025953833274,0.7698947836304612,0.81106070209108,0.8274484359832666,0.18962896971322313,0.07786820654178135,-0.06863836617766035,0.7996870109546166,0.55005382131324,0.6517857142857143
variable,5,1346,0.5638930163447251,0.8238738769069855,0.8006683636599966,0.8446564248431901,0.8795565332154821,0.1739597853304831,0.06738811019838094,-0.060854165220539935,0.8291873963515755,0.6587615283267457,0.7342143906020558
variable,6,934,0.6231263383297645,0.835197985004686,0.8112405029935332,0.8576238149184795,0.9080193043566976,0.16800199293120072,0.0781535131464709,-0.07366746658724971,0.8631578947368421,0.7044673539518901,0.7757805108798487
variable,7,682,0.6730205278592375,0.8593061539513663,0.8300773468493222,0.8862788892863751,0.9370752803775177,0.15318999622185858,0.08961377913238222,-0.08723407196518992,0.8944591029023746,0.738562091503268,0.8090692124105012
variable,8,478,0.7301255230125523,0.8703493925057195,0.8386775115438051,0.8995156129580714,0.9537292038643677,0.14741990664458346,0.10904975001110723,-0.10904975001110723,0.9273356401384083,0.7679083094555874,0.8401253918495298
fixed,1,478,0.7301255230125523,0.588836320828058,0.5290917252240219,0.6453586101353842,0.7812483207487319,0.3962049709175092,0.43952608817971117,-0.4265739513258441,0.8235294117647058,0.16045845272206305,0.2685851318944844
fixed,2,478,0.7301255230125523,0.6265076297727725,0.5683608921249039,0.6807825094772545,0.8092393741642319,0.3690852447239425,0.4052617193847044,-0.388011006810359,0.8256880733944955,0.25787965616045844,0.3930131004366812
fixed,3,478,0.7301255230125523,0.687479176384354,0.6346346415446338,0.7393923730000096,0.8529293323357336,0.319216230750023,0.34433794794421313,-0.3315922303736414,0.875,0.36103151862464183,0.5111561866125761
fixed,4,478,0.7301255230125523,0.7103351769174384,0.6555731948256558,0.7582569308219157,0.86947571708775,0.2904229708071761,0.304695597576167,-0.2924180375727707,0.8588957055214724,0.40114613180515757,0.546875
fixed,5,478,0.7301255230125523,0.7607116678883188,0.7151445702247841,0.8016442211527666,0.8993604249770506,0.2436064318872703,0.23662102404865878,-0.2359469365261226,0.9029126213592233,0.5329512893982808,0.6702702702702703
fixed,6,478,0.7301255230125523,0.7849003798227494,0.7427148856675405,0.8235517258048258,0.9143086120494315,0.21671551346672835,0.19375323183986498,-0.19375323183986498,0.8991596638655462,0.6131805157593123,0.7291311754684838
fixed,7,478,0.7301255230125523,0.838008929166389,0.7999856649830617,0.8699608601556384,0.9408307995246927,0.17357965853182483,0.14572091537720727,-0.14572091537720727,0.917910447761194,0.7048710601719198,0.7974068071312804
fixed,8,478,0.7301255230125523,0.8703493925057195,0.8386775115438051,0.8995156129580714,0.9537292038643677,0.14741990664458346,0.10904975001110723,-0.10904975001110723,0.9273356401384083,0.7679083094555874,0.8401253918495298
