k,bin,n,mean_pred,observed
1,"(-0.001, 0.1]",1346,0.05638226710608884,0.07206537890044576
1,"(0.1, 0.2]",1557,0.1463860047809232,0.16056518946692358
1,"(0.2, 0.3]",1169,0.24698268046198435,0.23182207014542344
1,"(0.3, 0.4]",743,0.34523322534800555,0.3189771197846568
1,"(0.4, 0.5]",349,0.44506234250808807,0.45272206303724927
1,"(0.5, 0.6]",215,0.548991999573742,0.4744186046511628
1,"(0.6, 0.7]",118,0.6433724278387432,0.5254237288135594
1,"(0.7, 0.8]",94,0.7485331107059573,0.6063829787234043
1,"(0.8, 0.9]",47,0.8359172528873808,0.5106382978723404
1,"(0.9, 1.0]",69,0.9561081743111319,0.9565217391304348
2,"(-0.001, 0.1]",633,0.056749545651314674,0.1358609794628752
2,"(0.1, 0.2]",851,0.1501444339396188,0.23501762632197415
2,"(0.2, 0.3]",680,0.24601608266462638,0.32794117647058824
2,"(0.3, 0.4]",478,0.3465132828086904,0.38702928870292885
2,"(0.4, 0.5]",273,0.4474578457598937,0.45787545787545786
2,"(0.5, 0.6]",234,0.5440317203927861,0.46153846153846156
2,"(0.6, 0.7]",115,0.6451629532618861,0.5304347826086957
2,"(0.7, 0.8]",104,0.7414251585119277,0.6923076923076923
2,"(0.8, 0.9]",63,0.8453133543437238,0.7619047619047619
2,"(0.9, 1.0]",156,0.9689058576096852,0.967948717948718
3,"(-0.001, 0.1]",323,0.057795414642455745,0.15789473684210525
3,"(0.1, 0.2]",513,0.14884847659577036,0.2553606237816764
3,"(0.2, 0.3]",470,0.2482822922132217,0.3702127659574468
3,"(0.3, 0.4]",307,0.3484524995269964,0.40716612377850164
3,"(0.4, 0.5]",223,0.44710947197970546,0.4080717488789238
3,"(0.5, 0.6]",172,0.5453286456270625,0.5232558139534884
3,"(0.6, 0.7]",105,0.6469789954397961,0.6190476190476191
3,"(0.7, 0.8]",86,0.7441729733682544,0.686046511627907
3,"(0.8, 0.9]",87,0.8435891700643461,0.8045977011494253
3,"(0.9, 1.0]",269,0.9755332509195551,0.9776951672862454
4,"(-0.001, 0.1]",189,0.056347854871215686,0.1693121693121693
4,"(0.1, 0.2]",311,0.15261426538484846,0.26688102893890675
4,"(0.2, 0.3]",287,0.2487774533885255,0.3554006968641115
4,"(0.3, 0.4]",235,0.3484573166384379,0.4851063829787234
4,"(0.4, 0.5]",168,0.4468761138482647,0.5178571428571429
4,"(0.5, 0.6]",133,0.5468353824790291,0.518796992481203
4,"(0.6, 0.7]",82,0.6540048736986406,0.6707317073170732
4,"(0.7, 0.8]",66,0.7487821296836513,0.6818181818181818
4,"(0.8, 0.9]",64,0.8424495756310346,0.859375
4,"(0.9, 1.0]",294,0.977183546204615,0.9761904761904762
5,"(-0.001, 0.1]",119,0.05707982402506246,0.14285714285714285
5,"(0.1, 0.2]",184,0.15286178569236347,0.29891304347826086
5,"(0.2, 0.3]",195,0.24605955634169882,0.3435897435897436
5,"(0.3, 0.4]",139,0.3479755369066627,0.4748201438848921
5,"(0.4, 0.5]",106,0.44535207743473826,0.5094339622641509
5,"(0.5, 0.6]",94,0.547750020123851,0.5319148936170213
5,"(0.6, 0.7]",80,0.6454011358111154,0.6875
5,"(0.7, 0.8]",74,0.7520197940437678,0.7162162162162162
5,"(0.8, 0.9]",62,0.8481331746300007,0.8870967741935484
5,"(0.9, 1.0]",293,0.9804074345365399,0.9795221843003413
6,"(-0.001, 0.1]",72,0.055418577597391175,0.18055555555555555
6,"(0.1, 0.2]",123,0.1482775184357903,0.36585365853658536
6,"(0.2, 0.3]",110,0.25018693723242563,0.38181818181818183
6,"(0.3, 0.4]",81,0.34137560402389255,0.345679012345679
6,"(0.4, 0.5]",73,0.4510653853928282,0.6027397260273972
6,"(0.5, 0.6]",57,0.5488638737213514,0.5964912280701754
6,"(0.6, 0.7]",55,0.6470363859105674,0.7272727272727273
6,"(0.7, 0.8]",51,0.7469604655520844,0.7058823529411765
6,"(0.8, 0.9]",65,0.8579777450050481,0.8769230769230769
6,"(0.9, 1.0]",247,0.9802865364454785,0.9838056680161943
7,"(-0.001, 0.1]",50,0.05124664292654331,0.18
7,"(0.1, 0.2]",75,0.1475074793542871,0.36
7,"(0.2, 0.3]",68,0.24967766368247085,0.39705882352941174
7,"(0.3, 0.4]",58,0.34575673902252896,0.4482758620689655
7,"(0.4, 0.5]",52,0.4499270648327893,0.5961538461538461
7,"(0.5, 0.6]",49,0.5433119045204441,0.6530612244897959
7,"(0.6, 0.7]",32,0.650358754500393,0.625
7,"(0.7, 0.8]",33,0.7546106854203047,0.7575757575757576
7,"(0.8, 0.9]",58,0.8588487802735727,0.9482758620689655
7,"(0.9, 1.0]",207,0.9821432131235286,1.0
8,"(-0.001, 0.1]",31,0.04437636966222716,0.1935483870967742
8,"(0.1, 0.2]",53,0.15056870084865717,0.4339622641509434
8,"(0.2, 0.3]",40,0.251174595348774,0.425
8,"(0.3, 0.4]",35,0.345405861211908,0.6
8,"(0.4, 0.5]",30,0.44977138528003757,0.4666666666666667
8,"(0.5, 0.6]",30,0.5457698013716722,0.7
8,"(0.6, 0.7]",18,0.6387575666431665,0.7777777777777778
8,"(0.7, 0.8]",30,0.7506831664653589,0.8666666666666667
8,"(0.8, 0.9]",42,0.8562954577894933,0.9047619047619048
8,"(0.9, 1.0]",169,0.9794878456424104,1.0
