case_id,k,_n_nonterm,y,p
INC0000066,1,2,0,0.08691761451165625
INC0000066,2,2,0,0.12481213352495439
INC0000076,1,1,0,0.16998014668116052
INC0000084,1,4,1,0.4030379222310565
INC0000084,2,4,1,0.6353185617617633
INC0000084,3,4,1,0.5838551853650458
INC0000084,4,4,1,0.9999999999842626
INC0000098,1,4,0,0.12190327487840054
INC0000098,2,4,0,0.11782278222962422
INC0000098,3,4,0,0.14839926029267617
INC0000098,4,4,0,0.139064173939293
INC0000102,1,16,1,0.07052246603424736
INC0000102,2,16,1,0.1000524269442089
INC0000102,3,16,1,0.15712941822758172
INC0000102,4,16,1,0.5547352043153598
INC0000102,5,16,1,0.7593162809120071
INC0000102,6,16,1,0.8077022434828223
INC0000102,7,16,1,0.6789482253494785
INC0000102,8,16,1,0.8876611695003909
INC0000104,1,5,1,0.1590309795913618
INC0000104,2,5,1,0.9655337451100554
INC0000104,3,5,1,0.9632289535203701
INC0000104,4,5,1,0.9790236999280082
INC0000104,5,5,1,0.9580946669509718
INC0000110,1,2,0,0.2129515885458025
INC0000110,2,2,0,0.24248663178148486
INC0000116,1,2,0,0.15508915349612112
INC0000116,2,2,0,0.2057937369460264
INC0000124,1,2,0,0.107761453614969
INC0000124,2,2,0,0.12802791520429252
INC0000125,1,5,0,0.04749579844373781
INC0000125,2,5,0,0.04647956046873238
INC0000125,3,5,0,0.03252983545714117
INC0000125,4,5,0,0.037637217411039536
INC0000125,5,5,0,0.04195398783542402
INC0000129,1,11,1,0.1683678028423686
INC0000129,2,11,1,0.3175639910823467
INC0000129,3,11,1,0.826315472455185
INC0000129,4,11,1,0.9252963734020185
INC0000129,5,11,1,0.9668673064997062
INC0000129,6,11,1,0.9692614396564139
INC0000129,7,11,1,0.999238957115633
INC0000129,8,11,1,0.9994327369660967
INC0000149,1,2,0,0.17668870782252125
INC0000149,2,2,0,0.17094449346537394
INC0000161,1,9,1,0.13984780473553626
INC0000161,2,9,1,0.13533565789919436
INC0000161,3,9,1,0.9562275733758799
INC0000161,4,9,1,0.9511413837701964
INC0000161,5,9,1,0.9966311676033939
INC0000161,6,9,1,0.10989893293638571
INC0000161,7,9,1,0.12842485754734018
INC0000161,8,9,1,0.15385997884828012
INC0000192,1,1,0,0.2792433371979285
INC0000232,1,11,1,0.35247894674130514
INC0000232,2,11,1,0.8917442091778528
INC0000232,3,11,1,0.6285335448196813
INC0000232,4,11,1,0.8205089127914924
INC0000232,5,11,1,0.8775760970124974
INC0000232,6,11,1,0.9071256421684005
INC0000232,7,11,1,0.928197977507677
INC0000232,8,11,1,0.9976548027321834
INC0000237,1,2,0,0.2830163973911638
INC0000237,2,2,0,0.48865864716856766
INC0000246,1,7,1,0.16980018981487904
INC0000246,2,7,1,0.15159019692681822
INC0000246,3,7,1,0.17467388142463008
INC0000246,4,7,1,0.638324814601989
INC0000246,5,7,1,0.9456457197278756
INC0000246,6,7,1,0.876786277274727
INC0000246,7,7,1,0.9036354187794648
INC0000250,1,14,1,0.24670755165025507
INC0000250,2,14,1,0.38636921885597053
INC0000250,3,14,1,0.731799730037517
INC0000250,4,14,1,0.6789766416415218
INC0000250,5,14,1,0.9038033228038448
INC0000250,6,14,1,0.9630775826382574
INC0000250,7,14,1,0.9774452502115922
INC0000250,8,14,1,0.9703308299712015
INC0000266,1,10,1,0.14066608404375305
INC0000266,2,10,1,0.6204018247868915
INC0000266,3,10,1,0.7516889434127422
INC0000266,4,10,1,0.9064489783141111
INC0000266,5,10,1,0.9008844080237408
INC0000266,6,10,1,0.9107045986798522
INC0000266,7,10,1,0.9202953814130342
INC0000266,8,10,1,0.8959489351913492
INC0000272,1,10,1,0.00839526741758345
INC0000272,2,10,1,0.044727454179361234
INC0000272,3,10,1,0.04714272827251491
INC0000272,4,10,1,0.9468896126768159
INC0000272,5,10,1,0.8757935496957554
INC0000272,6,10,1,0.9049698615913357
INC0000272,7,10,1,0.9173778932298615
INC0000272,8,10,1,0.9136509412622439
INC0000283,1,7,0,0.24690746600540575
INC0000283,2,7,0,0.27691133276649144
INC0000283,3,7,0,0.25854561805291754
INC0000283,4,7,0,0.2600810500795953
INC0000283,5,7,0,0.21822439856589865
INC0000283,6,7,0,0.2027615285713743
INC0000283,7,7,0,0.17313401824269462
INC0000292,1,8,0,0.0047859442416501325
INC0000292,2,8,0,0.000536153828000146
INC0000292,3,8,0,0.000910582546436911
INC0000292,4,8,0,0.0007534750710178235
INC0000292,5,8,0,0.000970502053505417
INC0000292,6,8,0,0.0009599440410316111
INC0000292,7,8,0,0.0008384372548721247
INC0000292,8,8,0,0.001573759811847221
INC0000317,1,4,1,0.24103846665238732
INC0000317,2,4,1,0.2704728218471883
INC0000317,3,4,1,0.36952346539791076
INC0000317,4,4,1,0.9999999999430846
INC0000348,1,5,1,0.09945987156992664
INC0000348,2,5,1,0.1197096403779412
INC0000348,3,5,1,0.17583682548600227
INC0000348,4,5,1,0.998760165244554
INC0000348,5,5,1,0.9999999999913622
INC0000351,1,2,1,0.4018969782504859
INC0000351,2,2,1,0.630716094750031
INC0000385,1,8,1,0.3646754811283864
INC0000385,2,8,1,0.7386525710578848
INC0000385,3,8,1,0.999913612942411
INC0000385,4,8,1,0.9999881333407098
INC0000385,5,8,1,0.9999897079421822
INC0000385,6,8,1,0.9999983314252251
INC0000385,7,8,1,0.9999989358759583
INC0000385,8,8,1,0.9999997605678288
INC0000387,1,7,1,0.1465859821328557
INC0000387,2,7,1,0.2571264102782486
INC0000387,3,7,1,0.3764255768667046
INC0000387,4,7,1,0.5100837104704887
INC0000387,5,7,1,0.911759002686774
INC0000387,6,7,1,0.9957894206952947
INC0000387,7,7,1,0.9982497023219146
INC0000388,1,5,1,0.20362289049728266
INC0000388,2,5,1,0.8701167404398781
INC0000388,3,5,1,0.9149624747973968
INC0000388,4,5,1,0.9999262685053354
INC0000388,5,5,1,0.9998483806446846
INC0000396,1,11,1,0.08067961068910376
INC0000396,2,11,1,0.12404152538906378
INC0000396,3,11,1,0.6835557641084752
INC0000396,4,11,1,0.9259855179515231
INC0000396,5,11,1,0.9931750698193492
INC0000396,6,11,1,0.9977460677345795
INC0000396,7,11,1,0.9981454659700201
INC0000396,8,11,1,0.9978902131330195
INC0000403,1,18,1,0.2897733856687143
INC0000403,2,18,1,0.3229372080956984
INC0000403,3,18,1,0.4302861174276048
INC0000403,4,18,1,0.34092635865426985
INC0000403,5,18,1,0.4502384806584412
INC0000403,6,18,1,0.5039457408767463
INC0000403,7,18,1,0.9375323674983919
INC0000403,8,18,1,0.9512662003728389
INC0000425,1,1,0,0.8780007039088845
INC0000439,1,2,0,0.9078108489553286
INC0000439,2,2,0,0.9615479646605549
INC0000497,1,7,0,0.1648092692094097
INC0000497,2,7,0,0.15936088275337834
INC0000497,3,7,0,0.31111552303018286
INC0000497,4,7,0,0.5774299639792846
INC0000497,5,7,0,0.6044992548170779
INC0000497,6,7,0,0.8805481783538525
INC0000497,7,7,0,0.954243636195258
INC0000524,1,11,1,0.1369088715644808
INC0000524,2,11,1,0.17322119704552164
INC0000524,3,11,1,0.24966494076789753
