cohort,k,n_k,base_rate_k,auc,auc_lo,auc_hi,ap,brier,ece,bias,precision,recall,f1
variable,1,5707,0.23199579463816367,0.7452346955726361,0.7307294341007783,0.7599073350060435,0.4863662950375076,0.15703059893097698,0.05273251866979553,0.03831966496388482,0.5147232037691402,0.3300604229607251,0.40220892774965483
variable,2,3587,0.35098968497351546,0.712514909831345,0.6950120038265106,0.7303350098519742,0.6283803901003501,0.19828191384026475,0.06421076646035707,0.015326122658813788,0.5893271461716937,0.403494837172359,0.47901933050447904
variable,3,2555,0.43796477495107633,0.761260302548286,0.7418273756792576,0.7804366127940308,0.770586387739066,0.1934102258498916,0.06938774487780089,0.027608884523628148,0.6858638743455497,0.5853440571939231,0.6316297010607522
variable,4,1829,0.5079278294149808,0.7881389785910775,0.7669991583383924,0.808371798258073,0.8349750287892218,0.18722901092897823,0.07445481908800433,0.024990599567835416,0.7336394948335246,0.6878363832077503,0.71
variable,5,1346,0.5638930163447251,0.8273663230333108,0.8068031231303767,0.8472675449296965,0.8853501722294232,0.17089249323239683,0.07692152824817448,0.04291106170848742,0.7522123893805309,0.7839262187088274,0.7677419354838709
variable,6,934,0.6231263383297645,0.8437670845048422,0.8176745015425728,0.8672486433457939,0.9153363805789683,0.1617440768592059,0.07178412968735558,0.031047192956590156,0.797979797979798,0.8144329896907216,0.8061224489795918
variable,7,682,0.6730205278592375,0.865500161200504,0.8376632778512051,0.8932419439287924,0.9419973374664874,0.14787247816700658,0.0845199585004636,0.03200689235652996,0.8229166666666666,0.8605664488017429,0.8413205537806177
variable,8,478,0.7301255230125523,0.8868972257390996,0.8570953795388756,0.9140116074948945,0.9615568590460913,0.12836408058793614,0.06822192592148876,0.012651642016817118,0.8651685393258427,0.8825214899713467,0.873758865248227
fixed,1,478,0.7301255230125523,0.6194664712023278,0.5585953417151692,0.6775141081858086,0.7867828343987017,0.3480097416117195,0.38189214209842826,-0.3650968707377037,0.7984496124031008,0.29512893982808025,0.4309623430962343
fixed,2,478,0.7301255230125523,0.6385908798116435,0.5791102735315801,0.6927892393637783,0.8180972137673175,0.32155948189517886,0.34921623008115266,-0.31588366424282976,0.8014184397163121,0.3237822349570201,0.46122448979591835
fixed,3,478,0.7301255230125523,0.6958752582128341,0.6443460962012966,0.7449529086603127,0.864249441148941,0.2675377965702515,0.26627670668618886,-0.24345824057548052,0.8638743455497382,0.47277936962750716,0.6111111111111112
fixed,4,478,0.7301255230125523,0.7251282734723796,0.67551648150543,0.769349944014587,0.8827954138045359,0.23856967921827854,0.2233952961113912,-0.19841784352600328,0.8632478632478633,0.5787965616045845,0.692967409948542
fixed,5,478,0.7301255230125523,0.7718620199462474,0.7231766982754574,0.8137573511805043,0.9097372025530805,0.20037531354741342,0.16050935401405872,-0.13555868012464325,0.8566308243727598,0.6848137535816619,0.7611464968152867
fixed,6,478,0.7301255230125523,0.8034250683014594,0.7626226743756364,0.8390023484988026,0.926057438103922,0.17802487695346864,0.12017837886905067,-0.09127319741323903,0.8745762711864407,0.7392550143266475,0.8012422360248447
fixed,7,478,0.7301255230125523,0.8505364163390418,0.8151471354788298,0.8798731219598509,0.9477468121310266,0.14792830155777997,0.07913621273047625,-0.029512880966223228,0.8686567164179104,0.833810888252149,0.8508771929824561
fixed,8,478,0.7301255230125523,0.8868972257390996,0.8570953795388756,0.9140116074948945,0.9615568590460913,0.12836408058793614,0.06822192592148876,0.012651642016817118,0.8651685393258427,0.8825214899713467,0.873758865248227
