k,bin,n,mean_pred,observed
1,"(-0.001, 0.1]",1543,0.051116608,0.07777057679844458
1,"(0.1, 0.2]",1152,0.14613453,0.12065972222222222
1,"(0.2, 0.3]",843,0.2477772,0.232502965599051
1,"(0.3, 0.4]",722,0.34874573,0.29778393351800553
1,"(0.4, 0.5]",598,0.44614112,0.362876254180602
1,"(0.5, 0.6]",368,0.54625744,0.421195652173913
1,"(0.6, 0.7]",193,0.64417017,0.45595854922279794
1,"(0.7, 0.8]",105,0.7440262,0.5523809523809524
1,"(0.8, 0.9]",94,0.84282815,0.6702127659574468
1,"(0.9, 1.0]",89,0.95855355,0.8202247191011236
2,"(-0.001, 0.1]",549,0.055275843,0.16393442622950818
2,"(0.1, 0.2]",492,0.15337153,0.16869918699186992
2,"(0.2, 0.3]",590,0.25172907,0.2864406779661017
2,"(0.3, 0.4]",628,0.349108,0.3375796178343949
2,"(0.4, 0.5]",466,0.44353858,0.4227467811158798
2,"(0.5, 0.6]",268,0.5442676,0.40298507462686567
2,"(0.6, 0.7]",168,0.6487221,0.4166666666666667
2,"(0.7, 0.8]",115,0.7502178,0.48695652173913045
2,"(0.8, 0.9]",86,0.8447573,0.7325581395348837
2,"(0.9, 1.0]",225,0.97754407,0.9377777777777778
3,"(-0.001, 0.1]",279,0.05781647,0.20430107526881722
3,"(0.1, 0.2]",236,0.15210932,0.19491525423728814
3,"(0.2, 0.3]",325,0.25107357,0.25846153846153846
3,"(0.3, 0.4]",413,0.35045183,0.3389830508474576
3,"(0.4, 0.5]",347,0.4457183,0.39481268011527376
3,"(0.5, 0.6]",227,0.5449224,0.44493392070484583
3,"(0.6, 0.7]",135,0.6507222,0.43703703703703706
3,"(0.7, 0.8]",100,0.74732995,0.46
3,"(0.8, 0.9]",110,0.85010356,0.7272727272727273
3,"(0.9, 1.0]",383,0.9836111,0.9634464751958225
4,"(-0.001, 0.1]",155,0.061828926,0.2709677419354839
4,"(0.1, 0.2]",137,0.15110788,0.2116788321167883
4,"(0.2, 0.3]",176,0.25272563,0.2784090909090909
4,"(0.3, 0.4]",230,0.3492356,0.32608695652173914
4,"(0.4, 0.5]",260,0.44443315,0.36538461538461536
4,"(0.5, 0.6]",196,0.54652095,0.4897959183673469
4,"(0.6, 0.7]",112,0.6520327,0.48214285714285715
4,"(0.7, 0.8]",78,0.74701095,0.5897435897435898
4,"(0.8, 0.9]",92,0.84808564,0.6956521739130435
4,"(0.9, 1.0]",393,0.9863346,0.9643765903307888
5,"(-0.001, 0.1]",92,0.0616091,0.22826086956521738
5,"(0.1, 0.2]",82,0.1517429,0.24390243902439024
5,"(0.2, 0.3]",95,0.2508662,0.24210526315789474
5,"(0.3, 0.4]",141,0.35211965,0.3262411347517731
5,"(0.4, 0.5]",145,0.446657,0.3724137931034483
5,"(0.5, 0.6]",138,0.54273444,0.38405797101449274
5,"(0.6, 0.7]",101,0.6477949,0.5247524752475248
5,"(0.7, 0.8]",69,0.7483172,0.6376811594202898
5,"(0.8, 0.9]",64,0.8532609,0.65625
5,"(0.9, 1.0]",419,0.9876699,0.9618138424821002
6,"(-0.001, 0.1]",54,0.060580447,0.25925925925925924
6,"(0.1, 0.2]",48,0.14539357,0.3125
6,"(0.2, 0.3]",70,0.25388616,0.24285714285714285
6,"(0.3, 0.4]",71,0.3482481,0.352112676056338
6,"(0.4, 0.5]",97,0.44722885,0.38144329896907214
6,"(0.5, 0.6]",81,0.5498048,0.4691358024691358
6,"(0.6, 0.7]",48,0.65078,0.4791666666666667
6,"(0.7, 0.8]",52,0.7428754,0.6538461538461539
6,"(0.8, 0.9]",55,0.85205966,0.6727272727272727
6,"(0.9, 1.0]",358,0.9877223,0.9553072625698324
7,"(-0.001, 0.1]",42,0.060333632,0.30952380952380953
7,"(0.1, 0.2]",24,0.15558931,0.2916666666666667
7,"(0.2, 0.3]",45,0.2627753,0.35555555555555557
7,"(0.3, 0.4]",35,0.3560166,0.3142857142857143
7,"(0.4, 0.5]",56,0.4474084,0.30357142857142855
7,"(0.5, 0.6]",52,0.5558377,0.4423076923076923
7,"(0.6, 0.7]",41,0.64812684,0.5853658536585366
7,"(0.7, 0.8]",30,0.7562987,0.5
7,"(0.8, 0.9]",42,0.8491182,0.6904761904761905
7,"(0.9, 1.0]",315,0.98854446,0.9650793650793651
8,"(-0.001, 0.1]",31,0.07098518,0.25806451612903225
8,"(0.1, 0.2]",17,0.14339402,0.47058823529411764
8,"(0.2, 0.3]",18,0.25285208,0.3333333333333333
8,"(0.3, 0.4]",21,0.34458283,0.3333333333333333
8,"(0.4, 0.5]",35,0.44803655,0.34285714285714286
8,"(0.5, 0.6]",30,0.54779655,0.4
8,"(0.6, 0.7]",21,0.6442441,0.6666666666666666
8,"(0.7, 0.8]",18,0.7347676,0.6111111111111112
8,"(0.8, 0.9]",33,0.8527244,0.7575757575757576
8,"(0.9, 1.0]",254,0.99059707,0.968503937007874
