case_id,k,_n_nonterm,y,p
INC0000066,1,2,0,0.08576884
INC0000066,2,2,0,0.09596553
INC0000076,1,1,0,0.050753973
INC0000084,1,4,1,0.761334
INC0000084,2,4,1,0.71665823
INC0000084,3,4,1,0.7441425
INC0000084,4,4,1,0.99009526
INC0000098,1,4,0,0.1052526
INC0000098,2,4,0,0.088172674
INC0000098,3,4,0,0.10547776
INC0000098,4,4,0,0.10250793
INC0000102,1,16,1,0.107246965
INC0000102,2,16,1,0.21919411
INC0000102,3,16,1,0.27396992
INC0000102,4,16,1,0.28456053
INC0000102,5,16,1,0.3783113
INC0000102,6,16,1,0.39335024
INC0000102,7,16,1,0.28495783
INC0000102,8,16,1,0.82289726
INC0000104,1,5,1,0.12733845
INC0000104,2,5,1,0.8370665
INC0000104,3,5,1,0.9286237
INC0000104,4,5,1,0.93770534
INC0000104,5,5,1,0.88470644
INC0000110,1,2,0,0.15033408
INC0000110,2,2,0,0.14691496
INC0000116,1,2,0,0.092579365
INC0000116,2,2,0,0.24119289
INC0000124,1,2,0,0.17499942
INC0000124,2,2,0,0.16436636
INC0000125,1,5,0,0.11003245
INC0000125,2,5,0,0.09544376
INC0000125,3,5,0,0.20654637
INC0000125,4,5,0,0.19012222
INC0000125,5,5,0,0.19012222
INC0000129,1,11,1,0.16420196
INC0000129,2,11,1,0.28494942
INC0000129,3,11,1,0.4690841
INC0000129,4,11,1,0.54441535
INC0000129,5,11,1,0.93891525
INC0000129,6,11,1,0.9486063
INC0000129,7,11,1,0.9990275
INC0000129,8,11,1,0.99943405
INC0000149,1,2,0,0.12961595
INC0000149,2,2,0,0.103466265
INC0000161,1,9,1,0.14280546
INC0000161,2,9,1,0.12530783
INC0000161,3,9,1,0.9261387
INC0000161,4,9,1,0.9726723
INC0000161,5,9,1,0.84591836
INC0000161,6,9,1,0.29252204
INC0000161,7,9,1,0.4399157
INC0000161,8,9,1,0.44135246
INC0000192,1,1,0,0.24902594
INC0000232,1,11,1,0.5383154
INC0000232,2,11,1,0.4670685
INC0000232,3,11,1,0.59479296
INC0000232,4,11,1,0.6967281
INC0000232,5,11,1,0.77275646
INC0000232,6,11,1,0.7830914
INC0000232,7,11,1,0.7125291
INC0000232,8,11,1,0.9635517
INC0000237,1,2,0,0.26168633
INC0000237,2,2,0,0.3581918
INC0000246,1,7,1,0.2272886
INC0000246,2,7,1,0.22234434
INC0000246,3,7,1,0.23541553
INC0000246,4,7,1,0.29263717
INC0000246,5,7,1,0.8159846
INC0000246,6,7,1,0.7072602
INC0000246,7,7,1,0.7072602
INC0000250,1,14,1,0.32027116
INC0000250,2,14,1,0.27436858
INC0000250,3,14,1,0.4014265
INC0000250,4,14,1,0.39828163
INC0000250,5,14,1,0.5267801
INC0000250,6,14,1,0.8388911
INC0000250,7,14,1,0.9323591
INC0000250,8,14,1,0.930984
INC0000266,1,10,1,0.3280524
INC0000266,2,10,1,0.51838326
INC0000266,3,10,1,0.6048983
INC0000266,4,10,1,0.6444274
INC0000266,5,10,1,0.6398558
INC0000266,6,10,1,0.8257186
INC0000266,7,10,1,0.9144164
INC0000266,8,10,1,0.8933062
INC0000272,1,10,1,0.4351158
INC0000272,2,10,1,0.35226324
INC0000272,3,10,1,0.33834884
INC0000272,4,10,1,0.920406
INC0000272,5,10,1,0.9088859
INC0000272,6,10,1,0.90923434
INC0000272,7,10,1,0.9079618
INC0000272,8,10,1,0.9061645
INC0000283,1,7,0,0.33238614
INC0000283,2,7,0,0.2970643
INC0000283,3,7,0,0.29736984
INC0000283,4,7,0,0.29868066
INC0000283,5,7,0,0.1313606
INC0000283,6,7,0,0.13720837
INC0000283,7,7,0,0.17838128
INC0000292,1,8,0,0.3203327
INC0000292,2,8,0,0.36119568
INC0000292,3,8,0,0.34345803
INC0000292,4,8,0,0.3530978
INC0000292,5,8,0,0.35792682
INC0000292,6,8,0,0.35792682
INC0000292,7,8,0,0.3035112
INC0000292,8,8,0,0.20335194
INC0000317,1,4,1,0.8546812
INC0000317,2,4,1,0.7987287
INC0000317,3,4,1,0.87631506
INC0000317,4,4,1,0.98656946
INC0000348,1,5,1,0.66819215
INC0000348,2,5,1,0.6318128
INC0000348,3,5,1,0.6879702
INC0000348,4,5,1,0.95000774
INC0000348,5,5,1,0.97131866
INC0000351,1,2,1,0.85843116
INC0000351,2,2,1,0.814727
INC0000385,1,8,1,0.42470378
INC0000385,2,8,1,0.53814805
INC0000385,3,8,1,0.9997898
INC0000385,4,8,1,0.9992681
INC0000385,5,8,1,0.9993463
INC0000385,6,8,1,0.9990491
INC0000385,7,8,1,0.9991659
INC0000385,8,8,1,0.9989772
INC0000387,1,7,1,0.14303498
INC0000387,2,7,1,0.16222444
INC0000387,3,7,1,0.21069248
INC0000387,4,7,1,0.20835315
INC0000387,5,7,1,0.50740474
INC0000387,6,7,1,0.99350667
INC0000387,7,7,1,0.99400663
INC0000388,1,5,1,0.5739101
INC0000388,2,5,1,0.9055451
INC0000388,3,5,1,0.9337983
INC0000388,4,5,1,0.9983937
INC0000388,5,5,1,0.99781764
INC0000396,1,11,1,0.43085158
INC0000396,2,11,1,0.43659288
INC0000396,3,11,1,0.32120478
INC0000396,4,11,1,0.76597464
INC0000396,5,11,1,0.9975293
INC0000396,6,11,1,0.99784434
INC0000396,7,11,1,0.9976642
INC0000396,8,11,1,0.99784124
INC0000403,1,18,1,0.35702425
INC0000403,2,18,1,0.31662586
INC0000403,3,18,1,0.35874644
INC0000403,4,18,1,0.3536158
INC0000403,5,18,1,0.3903259
INC0000403,6,18,1,0.34536156
INC0000403,7,18,1,0.55197245
INC0000403,8,18,1,0.5326119
INC0000425,1,1,0,0.491619
INC0000439,1,2,0,0.77627516
INC0000439,2,2,0,0.7807141
