k,bin,n,mean_pred,observed
1,"(-0.001, 0.1]",1377,0.049418546,0.03413217138707335
1,"(0.1, 0.2]",720,0.14212985,0.15
1,"(0.2, 0.3]",844,0.2539515,0.29739336492890994
1,"(0.3, 0.4]",938,0.3485596,0.38912579957356075
1,"(0.4, 0.5]",489,0.443158,0.5316973415132924
1,"(0.5, 0.6]",256,0.5438041,0.66796875
1,"(0.6, 0.7]",206,0.6468625,0.7572815533980582
1,"(0.7, 0.8]",154,0.7475621,0.8246753246753247
1,"(0.8, 0.9]",197,0.85392934,0.9035532994923858
1,"(0.9, 1.0]",527,0.9718703,0.9848197343453511
2,"(-0.001, 0.1]",246,0.060883746,0.032520325203252036
2,"(0.1, 0.2]",549,0.15366375,0.12386156648451731
2,"(0.2, 0.3]",730,0.25154656,0.27534246575342464
2,"(0.3, 0.4]",697,0.34759495,0.4146341463414634
2,"(0.4, 0.5]",452,0.44261974,0.5309734513274337
2,"(0.5, 0.6]",265,0.5490808,0.630188679245283
2,"(0.6, 0.7]",172,0.6485727,0.7093023255813954
2,"(0.7, 0.8]",142,0.74425775,0.8028169014084507
2,"(0.8, 0.9]",146,0.84883714,0.9246575342465754
2,"(0.9, 1.0]",689,0.9817318,0.9927431059506531
3,"(-0.001, 0.1]",77,0.06396586,0.09090909090909091
3,"(0.1, 0.2]",262,0.15425456,0.10305343511450382
3,"(0.2, 0.3]",504,0.24987863,0.26587301587301587
3,"(0.3, 0.4]",465,0.34946176,0.3913978494623656
3,"(0.4, 0.5]",338,0.44545603,0.5207100591715976
3,"(0.5, 0.6]",212,0.5461103,0.6556603773584906
3,"(0.6, 0.7]",158,0.64342225,0.7215189873417721
3,"(0.7, 0.8]",129,0.74847734,0.7984496124031008
3,"(0.8, 0.9]",120,0.8507353,0.8916666666666667
3,"(0.9, 1.0]",798,0.98253316,0.9949874686716792
4,"(-0.001, 0.1]",36,0.059968248,0.16666666666666666
4,"(0.1, 0.2]",129,0.15236384,0.06976744186046512
4,"(0.2, 0.3]",302,0.2544993,0.23841059602649006
4,"(0.3, 0.4]",331,0.34453812,0.3685800604229607
4,"(0.4, 0.5]",228,0.4488468,0.5657894736842105
4,"(0.5, 0.6]",185,0.54423875,0.6054054054054054
4,"(0.6, 0.7]",122,0.643869,0.7213114754098361
4,"(0.7, 0.8]",103,0.7452663,0.8252427184466019
4,"(0.8, 0.9]",91,0.8571534,0.8901098901098901
4,"(0.9, 1.0]",786,0.98472816,0.9961832061068703
5,"(-0.001, 0.1]",14,0.051628377,0.07142857142857142
5,"(0.1, 0.2]",95,0.1580159,0.10526315789473684
5,"(0.2, 0.3]",169,0.25657937,0.21893491124260356
5,"(0.3, 0.4]",212,0.3474731,0.3632075471698113
5,"(0.4, 0.5]",174,0.44937265,0.5114942528735632
5,"(0.5, 0.6]",142,0.5468047,0.5774647887323944
5,"(0.6, 0.7]",98,0.6468997,0.7857142857142857
5,"(0.7, 0.8]",86,0.7508646,0.7441860465116279
5,"(0.8, 0.9]",67,0.8540256,0.8955223880597015
5,"(0.9, 1.0]",750,0.9858136,0.996
6,"(-0.001, 0.1]",12,0.0639387,0.0
6,"(0.1, 0.2]",49,0.15167794,0.08163265306122448
6,"(0.2, 0.3]",91,0.25801596,0.24175824175824176
6,"(0.3, 0.4]",115,0.35201445,0.33043478260869563
6,"(0.4, 0.5]",128,0.44867545,0.5390625
6,"(0.5, 0.6]",91,0.5470621,0.5054945054945055
6,"(0.6, 0.7]",78,0.6475532,0.5641025641025641
6,"(0.7, 0.8]",51,0.75023156,0.8431372549019608
6,"(0.8, 0.9]",54,0.84703815,0.8518518518518519
6,"(0.9, 1.0]",684,0.9861628,0.9956140350877193
7,"(-0.001, 0.1]",12,0.072160445,0.0
7,"(0.1, 0.2]",22,0.16250981,0.13636363636363635
7,"(0.2, 0.3]",54,0.2520239,0.12962962962962962
7,"(0.3, 0.4]",67,0.3506095,0.417910447761194
7,"(0.4, 0.5]",70,0.45127472,0.42857142857142855
7,"(0.5, 0.6]",69,0.5504148,0.6521739130434783
7,"(0.6, 0.7]",63,0.64955693,0.5714285714285714
7,"(0.7, 0.8]",39,0.75152165,0.7692307692307693
7,"(0.8, 0.9]",46,0.85556704,0.8043478260869565
7,"(0.9, 1.0]",569,0.9875972,0.9912126537785588
8,"(-0.001, 0.1]",6,0.060744006,0.0
8,"(0.1, 0.2]",10,0.16119903,0.0
8,"(0.2, 0.3]",31,0.25351623,0.1935483870967742
8,"(0.3, 0.4]",39,0.3548906,0.41025641025641024
8,"(0.4, 0.5]",49,0.4474427,0.46938775510204084
8,"(0.5, 0.6]",35,0.5414247,0.5142857142857142
8,"(0.6, 0.7]",40,0.64765185,0.55
8,"(0.7, 0.8]",36,0.75467426,0.8055555555555556
8,"(0.8, 0.9]",31,0.8509708,0.8709677419354839
8,"(0.9, 1.0]",485,0.98884416,0.9876288659793815
