case_id,k,_n_nonterm,y,p
INC0000047,1,7,0,0.5516305
INC0000047,2,7,0,0.25182715
INC0000047,3,7,0,0.25541428
INC0000047,4,7,0,0.30685097
INC0000047,5,7,0,0.3198489
INC0000047,6,7,0,0.2822869
INC0000047,7,7,0,0.36869293
INC0000073,1,4,0,0.20158756
INC0000073,2,4,0,0.19798297
INC0000073,3,4,0,0.21974401
INC0000073,4,4,0,0.37921378
INC0000083,1,3,0,0.117145374
INC0000083,2,3,0,0.064445995
INC0000083,3,3,0,0.06608432
INC0000099,1,2,0,0.36341107
INC0000099,2,2,0,0.29934362
INC0000126,1,2,0,0.2113621
INC0000126,2,2,0,0.19715902
INC0000140,1,5,0,0.3670443
INC0000140,2,5,0,0.3587271
INC0000140,3,5,0,0.36110523
INC0000140,4,5,0,0.29059297
INC0000140,5,5,0,0.5120284
INC0000168,1,1,0,0.1270537
INC0000169,1,1,0,0.2000798
INC0000172,1,8,0,0.3544774
INC0000172,2,8,0,0.3293144
INC0000172,3,8,0,0.32171407
INC0000172,4,8,0,0.33795613
INC0000172,5,8,0,0.33795613
INC0000172,6,8,0,0.3984364
INC0000172,7,8,0,0.46226004
INC0000172,8,8,0,0.48232362
INC0000236,1,2,0,0.103572026
INC0000236,2,2,0,0.12496527
INC0000282,1,2,0,0.23533814
INC0000282,2,2,0,0.22171898
INC0000284,1,4,0,0.24536212
INC0000284,2,4,0,0.264758
INC0000284,3,4,0,0.30231568
INC0000284,4,4,0,0.28392878
INC0000285,1,4,0,0.13632806
INC0000285,2,4,0,0.20236507
INC0000285,3,4,0,0.19757482
INC0000285,4,4,0,0.2984483
INC0000330,1,3,1,0.8230612
INC0000330,2,3,1,0.8154985
INC0000330,3,3,1,0.99356234
INC0000343,1,3,1,0.9084494
INC0000343,2,3,1,0.90550077
INC0000343,3,3,1,0.9969489
INC0000347,1,3,0,0.19798516
INC0000347,2,3,0,0.3697768
INC0000347,3,3,0,0.4169774
INC0000351,1,2,1,0.83410853
INC0000351,2,2,1,0.8017131
INC0000377,1,2,0,0.14163892
INC0000377,2,2,0,0.12450629
INC0000384,1,2,0,0.09653371
INC0000384,2,2,0,0.2559641
INC0000497,1,7,0,0.341471
INC0000497,2,7,0,0.31269404
INC0000497,3,7,0,0.38973594
INC0000497,4,7,0,0.41911706
INC0000497,5,7,0,0.4331867
INC0000497,6,7,0,0.6813993
INC0000497,7,7,0,0.868742
INC0000500,1,4,1,0.18446779
INC0000500,2,4,1,0.9494058
INC0000500,3,4,1,0.95116967
INC0000500,4,4,1,0.9437321
INC0000503,1,4,0,0.13478494
INC0000503,2,4,0,0.1687701
INC0000503,3,4,0,0.28440505
INC0000503,4,4,0,0.20258337
INC0000519,1,4,0,0.32594824
INC0000519,2,4,0,0.31267118
INC0000519,3,4,0,0.34053788
INC0000519,4,4,0,0.378167
INC0000526,1,1,0,0.3394623
INC0000527,1,3,0,0.38709438
INC0000527,2,3,0,0.26134908
INC0000527,3,3,0,0.38307232
INC0000534,1,6,0,0.34510666
INC0000534,2,6,0,0.3449117
INC0000534,3,6,0,0.32827747
INC0000534,4,6,0,0.29082152
INC0000534,5,6,0,0.2877016
INC0000534,6,6,0,0.28768402
INC0000538,1,2,1,0.97934234
INC0000538,2,2,1,0.95609933
INC0000541,1,23,1,0.13894057
INC0000541,2,23,1,0.14805281
INC0000541,3,23,1,0.9539946
INC0000541,4,23,1,0.9741864
INC0000541,5,23,1,0.9816522
INC0000541,6,23,1,0.9817675
INC0000541,7,23,1,0.98204917
INC0000541,8,23,1,0.97586596
INC0000554,1,3,0,0.5438246
INC0000554,2,3,0,0.581919
INC0000554,3,3,0,0.49518013
INC0000648,1,2,0,0.2892407
INC0000648,2,2,0,0.49564576
INC0000654,1,3,0,0.18172745
INC0000654,2,3,0,0.1557671
INC0000654,3,3,0,0.25652936
INC0000669,1,17,0,0.20164615
INC0000669,2,17,0,0.25545478
INC0000669,3,17,0,0.10001791
INC0000669,4,17,0,0.09417709
INC0000669,5,17,0,0.09551616
INC0000669,6,17,0,0.1696847
INC0000669,7,17,0,0.136358
INC0000669,8,17,0,0.16603439
INC0000674,1,5,0,0.53924876
INC0000674,2,5,0,0.47416276
INC0000674,3,5,0,0.5856741
INC0000674,4,5,0,0.46691126
INC0000674,5,5,0,0.5398517
INC0000677,1,5,1,0.5896056
INC0000677,2,5,1,0.99961287
INC0000677,3,5,1,0.9996326
INC0000677,4,5,1,0.99933076
INC0000677,5,5,1,0.99869066
INC0000708,1,4,0,0.4349835
INC0000708,2,4,0,0.42649773
INC0000708,3,4,0,0.4953568
INC0000708,4,4,0,0.48092327
INC0000715,1,7,1,0.4827789
INC0000715,2,7,1,0.44097015
INC0000715,3,7,1,0.75226
INC0000715,4,7,1,0.9982492
INC0000715,5,7,1,0.9980654
INC0000715,6,7,1,0.9981798
INC0000715,7,7,1,0.9985405
INC0000717,1,2,0,0.25024882
INC0000717,2,2,0,0.17093593
INC0000734,1,4,0,0.50377655
INC0000734,2,4,0,0.49436867
INC0000734,3,4,0,0.557053
INC0000734,4,4,0,0.71465224
INC0000778,1,5,0,0.35187626
INC0000778,2,5,0,0.33642176
INC0000778,3,5,0,0.33545515
INC0000778,4,5,0,0.3015479
INC0000778,5,5,0,0.7581083
INC0000790,1,4,1,0.626327
INC0000790,2,4,1,0.63131
INC0000790,3,4,1,0.8380393
INC0000790,4,4,1,0.9979329
INC0000791,1,2,0,0.4375281
INC0000791,2,2,0,0.4871723
INC0000838,1,4,0,0.38438857
INC0000838,2,4,0,0.4519952
INC0000838,3,4,0,0.44796562
INC0000838,4,4,0,0.48658958
INC0000863,1,3,0,0.27767056
INC0000863,2,3,0,0.27707985
INC0000863,3,3,0,0.4892721
INC0000895,1,8,1,0.2807345
INC0000895,2,8,1,0.27938846
INC0000895,3,8,1,0.38164163
INC0000895,4,8,1,0.401737
INC0000895,5,8,1,0.617015
INC0000895,6,8,1,0.7000611
INC0000895,7,8,1,0.74525726
INC0000895,8,8,1,0.99533856
INC0000925,1,1,0,0.22426282
INC0000928,1,1,0,0.23683985
INC0000938,1,18,1,0.23053282
INC0000938,2,18,1,0.25061613
INC0000938,3,18,1,0.32410032
INC0000938,4,18,1,0.45554352
INC0000938,5,18,1,0.4812834
INC0000938,6,18,1,0.98376703
INC0000938,7,18,1,0.9856967
INC0000938,8,18,1,0.990017
INC0000981,1,12,1,0.2402602
INC0000981,2,12,1,0.25810215
INC0000981,3,12,1,0.7197736
INC0000981,4,12,1,0.7347761
INC0000981,5,12,1,0.82258135
INC0000981,6,12,1,0.9981463
INC0000981,7,12,1,0.99855405
INC0000981,8,12,1,0.99859446
INC0000982,1,3,1,0.23147547
INC0000982,2,3,1,0.2130268
INC0000982,3,3,1,0.23504207
INC0000993,1,2,1,0.40686083
INC0000993,2,2,1,0.9987398
INC0000999,1,7,1,0.9853344
INC0000999,2,7,1,0.986894
INC0000999,3,7,1,0.9900682
INC0000999,4,7,1,0.9922281
INC0000999,5,7,1,0.9899199
INC0000999,6,7,1,0.9875261
INC0000999,7,7,1,0.9970054
INC0001006,1,2,0,0.21909833
INC0001006,2,2,0,0.60478663
INC0001016,1,4,0,0.20638844
INC0001016,2,4,0,0.4148284
INC0001016,3,4,0,0.40153077
INC0001016,4,4,0,0.3886022
INC0001017,1,14,1,0.45448542
INC0001017,2,14,1,0.4325574
INC0001017,3,14,1,0.5023594
INC0001017,4,14,1,0.52536273
INC0001017,5,14,1,0.4061767
INC0001017,6,14,1,0.41686273
INC0001017,7,14,1,0.46024713
INC0001017,8,14,1,0.843393
INC0001026,1,5,0,0.5174749
INC0001026,2,5,0,0.75151414
INC0001026,3,5,0,0.78061384
INC0001026,4,5,0,0.710506
INC0001026,5,5,0,0.71742207
INC0001028,1,12,1,0.5539102
INC0001028,2,12,1,0.5739803
INC0001028,3,12,1,0.8537435
INC0001028,4,12,1,0.86886156
INC0001028,5,12,1,0.70559776
INC0001028,6,12,1,0.662813
INC0001028,7,12,1,0.71031463
INC0001028,8,12,1,0.8015632
INC0001041,1,19,1,0.3740176
INC0001041,2,19,1,0.49616557
INC0001041,3,19,1,0.6422225
INC0001041,4,19,1,0.6549318
INC0001041,5,19,1,0.9936092
INC0001041,6,19,1,0.99381447
INC0001041,7,19,1,0.99385864
