cohort,k,n_k,base_rate_k,auc,auc_lo,auc_hi,ap,brier,ece,bias,precision,recall,f1
variable,1,5707,0.23199579463816367,0.746491008586457,0.7317848258492259,0.7613445252861369,0.48514907732369195,0.15736249128335156,0.05594454699220236,0.03875324269193671,0.5075431034482759,0.3557401812688822,0.4182948490230906
variable,2,3587,0.35098968497351546,0.7137892398101368,0.6960864198215555,0.7323772932453033,0.6283438945201008,0.19817213067752754,0.06809078217080321,0.017542106156806823,0.5804046858359957,0.4328832406671962,0.4959053685168335
variable,3,2555,0.43796477495107633,0.7642823004025181,0.7452303130945953,0.7827737390507931,0.7719105545226934,0.19285838220111687,0.07328662459543538,0.03117778162287871,0.6756487025948104,0.6050044682752458,0.6383781235266384
variable,4,1829,0.5079278294149808,0.7912450663796198,0.7707435973393546,0.8116260878424758,0.8367698563858268,0.18692228929563026,0.08036661359082813,0.03218408152175904,0.7200878155872668,0.7061356297093649,0.7130434782608696
variable,5,1346,0.5638930163447251,0.8298868995113718,0.8087786924844466,0.8496439648247425,0.8874042687490917,0.17148066061581765,0.08541758803935809,0.048770113801099316,0.7503075030750308,0.8036890645586298,0.7760814249363868
variable,6,934,0.6231263383297645,0.8434668853483287,0.817471422587343,0.8665687052932687,0.9150196224610214,0.1631652338169715,0.07952853176160468,0.037661067100453194,0.7872340425531915,0.8264604810996563,0.8063704945515507
variable,7,682,0.6730205278592375,0.8665650615004346,0.8388076304089942,0.8931623982886524,0.9423347714555337,0.14824880087260883,0.08351210726539762,0.03652295927978683,0.8155737704918032,0.8671023965141612,0.8405491024287223
variable,8,478,0.7301255230125523,0.8883409964238911,0.8597425962718283,0.91527501508414,0.9619725099927339,0.12754807807841204,0.06628542284337051,0.01634351996447754,0.8591160220994475,0.8911174785100286,0.8748241912798875
fixed,1,478,0.7301255230125523,0.6244863508140646,0.5644844325040632,0.6829888106504904,0.7861130801673061,0.35005346351993655,0.38591354523851656,-0.36763834890570485,0.8244274809160306,0.30945558739255014,0.45
fixed,2,478,0.7301255230125523,0.6390795406588037,0.5819743305177055,0.6914491504028593,0.8200258581101362,0.3207544750128374,0.34139112192965954,-0.3180150693305866,0.8187919463087249,0.3495702005730659,0.4899598393574297
fixed,3,478,0.7301255230125523,0.6989182825792407,0.6479940263570609,0.7474688207362596,0.8649324176022231,0.2662348764843417,0.2665576223190484,-0.24188546921325277,0.8592964824120602,0.4899713467048711,0.6240875912408759
fixed,4,478,0.7301255230125523,0.7305035427911419,0.6803661018280517,0.7755062253927211,0.8852320103990861,0.2343023414324112,0.21433739979443564,-0.19158733238282935,0.8672199170124482,0.5988538681948424,0.7084745762711865
fixed,5,478,0.7301255230125523,0.7778814331089936,0.732686573232833,0.8192148812197765,0.912177317215923,0.19752140326110432,0.1582523926461279,-0.1331983675447655,0.8615916955017301,0.7134670487106017,0.780564263322884
fixed,6,478,0.7301255230125523,0.8053130761200329,0.7644423631965759,0.8417860481134037,0.9271582838378967,0.1754708595617318,0.11312271196348399,-0.08644640604696512,0.8651315789473685,0.7535816618911175,0.8055130168453293
fixed,7,478,0.7301255230125523,0.8527353901512629,0.8179556816328785,0.8826881220862114,0.9482861442647187,0.1464521029150249,0.0695673384582897,-0.02643919454022428,0.8596491228070176,0.8424068767908309,0.8509406657018813
fixed,8,478,0.7301255230125523,0.8883409964238911,0.8597425962718283,0.91527501508414,0.9619725099927339,0.12754807807841204,0.06628542284337051,0.01634351996447754,0.8591160220994475,0.8911174785100286,0.8748241912798875
