k,bin,n,mean_pred,observed
1,"(-0.001, 0.1]",1614,0.05139071,0.08178438661710037
1,"(0.1, 0.2]",1141,0.14558397,0.12182296231375986
1,"(0.2, 0.3]",773,0.24888273,0.22121604139715395
1,"(0.3, 0.4]",689,0.34581447,0.30043541364296084
1,"(0.4, 0.5]",562,0.4484447,0.36298932384341637
1,"(0.5, 0.6]",390,0.54551715,0.45897435897435895
1,"(0.6, 0.7]",243,0.6460206,0.4279835390946502
1,"(0.7, 0.8]",144,0.7397852,0.4930555555555556
1,"(0.8, 0.9]",63,0.8410893,0.6825396825396826
1,"(0.9, 1.0]",88,0.9565681,0.8409090909090909
2,"(-0.001, 0.1]",552,0.055059977,0.1539855072463768
2,"(0.1, 0.2]",531,0.15377736,0.18267419962335216
2,"(0.2, 0.3]",571,0.25270066,0.28896672504378285
2,"(0.3, 0.4]",524,0.35032275,0.3320610687022901
2,"(0.4, 0.5]",470,0.44497204,0.4106382978723404
2,"(0.5, 0.6]",324,0.54563564,0.43209876543209874
2,"(0.6, 0.7]",194,0.64651746,0.422680412371134
2,"(0.7, 0.8]",132,0.7433308,0.44696969696969696
2,"(0.8, 0.9]",74,0.8456038,0.7972972972972973
2,"(0.9, 1.0]",215,0.9766136,0.9534883720930233
3,"(-0.001, 0.1]",271,0.05549863,0.18450184501845018
3,"(0.1, 0.2]",251,0.1509892,0.21912350597609562
3,"(0.2, 0.3]",329,0.24986812,0.23708206686930092
3,"(0.3, 0.4]",336,0.34901053,0.3541666666666667
3,"(0.4, 0.5]",366,0.44845968,0.3825136612021858
3,"(0.5, 0.6]",247,0.5472105,0.4777327935222672
3,"(0.6, 0.7]",161,0.6448141,0.40993788819875776
3,"(0.7, 0.8]",110,0.7441808,0.4727272727272727
3,"(0.8, 0.9]",102,0.8488708,0.6862745098039216
3,"(0.9, 1.0]",382,0.980863,0.9712041884816754
4,"(-0.001, 0.1]",143,0.059196647,0.2097902097902098
4,"(0.1, 0.2]",150,0.14981303,0.3
4,"(0.2, 0.3]",171,0.24759926,0.24561403508771928
4,"(0.3, 0.4]",212,0.34760198,0.2830188679245283
4,"(0.4, 0.5]",242,0.4498947,0.39669421487603307
4,"(0.5, 0.6]",183,0.55201423,0.4808743169398907
4,"(0.6, 0.7]",150,0.6475453,0.47333333333333333
4,"(0.7, 0.8]",96,0.74444366,0.53125
4,"(0.8, 0.9]",85,0.8503681,0.7294117647058823
4,"(0.9, 1.0]",397,0.98267937,0.9672544080604534
5,"(-0.001, 0.1]",83,0.059226554,0.1927710843373494
5,"(0.1, 0.2]",91,0.14747742,0.2967032967032967
5,"(0.2, 0.3]",90,0.24607141,0.24444444444444444
5,"(0.3, 0.4]",145,0.3530808,0.296551724137931
5,"(0.4, 0.5]",124,0.4504709,0.33064516129032256
5,"(0.5, 0.6]",133,0.5457088,0.46616541353383456
5,"(0.6, 0.7]",115,0.64944816,0.48695652173913045
5,"(0.7, 0.8]",77,0.7498446,0.5714285714285714
5,"(0.8, 0.9]",60,0.8494775,0.6
5,"(0.9, 1.0]",428,0.9839586,0.9626168224299065
6,"(-0.001, 0.1]",48,0.05728586,0.20833333333333334
6,"(0.1, 0.2]",60,0.14666048,0.3333333333333333
6,"(0.2, 0.3]",61,0.26063186,0.2786885245901639
6,"(0.3, 0.4]",74,0.3534114,0.35135135135135137
6,"(0.4, 0.5]",80,0.45021582,0.35
6,"(0.5, 0.6]",75,0.55359614,0.44
6,"(0.6, 0.7]",66,0.6506911,0.5303030303030303
6,"(0.7, 0.8]",55,0.7471361,0.6
6,"(0.8, 0.9]",48,0.85170084,0.625
6,"(0.9, 1.0]",367,0.9839738,0.9536784741144414
7,"(-0.001, 0.1]",36,0.05809668,0.2777777777777778
7,"(0.1, 0.2]",31,0.14061297,0.3225806451612903
7,"(0.2, 0.3]",35,0.26029506,0.2857142857142857
7,"(0.3, 0.4]",43,0.35850906,0.3953488372093023
7,"(0.4, 0.5]",49,0.44905725,0.2857142857142857
7,"(0.5, 0.6]",45,0.5507759,0.4888888888888889
7,"(0.6, 0.7]",50,0.646441,0.46
7,"(0.7, 0.8]",35,0.7458849,0.5714285714285714
7,"(0.8, 0.9]",40,0.85231686,0.675
7,"(0.9, 1.0]",318,0.98623437,0.9622641509433962
8,"(-0.001, 0.1]",23,0.06489783,0.2608695652173913
8,"(0.1, 0.2]",21,0.14258406,0.3333333333333333
8,"(0.2, 0.3]",19,0.24089317,0.42105263157894735
8,"(0.3, 0.4]",24,0.3493389,0.3333333333333333
8,"(0.4, 0.5]",29,0.45466113,0.3103448275862069
8,"(0.5, 0.6]",32,0.54728186,0.46875
8,"(0.6, 0.7]",23,0.64876556,0.5652173913043478
8,"(0.7, 0.8]",27,0.74627185,0.7037037037037037
8,"(0.8, 0.9]",22,0.86057687,0.5909090909090909
8,"(0.9, 1.0]",258,0.9870634,0.9728682170542635
