case_id,k,_n_nonterm,y,p
INC0000066,1,2,0,0.09018217
INC0000066,2,2,0,0.103474006
INC0000076,1,1,0,0.08115903
INC0000084,1,4,1,0.7414559
INC0000084,2,4,1,0.76395416
INC0000084,3,4,1,0.7586177
INC0000084,4,4,1,0.929655
INC0000098,1,4,0,0.10007132
INC0000098,2,4,0,0.09250502
INC0000098,3,4,0,0.10274335
INC0000098,4,4,0,0.097093865
INC0000102,1,16,1,0.13974503
INC0000102,2,16,1,0.21998431
INC0000102,3,16,1,0.30661577
INC0000102,4,16,1,0.32429597
INC0000102,5,16,1,0.3656718
INC0000102,6,16,1,0.4233664
INC0000102,7,16,1,0.3133788
INC0000102,8,16,1,0.849834
INC0000104,1,5,1,0.124741465
INC0000104,2,5,1,0.8419441
INC0000104,3,5,1,0.8643501
INC0000104,4,5,1,0.8782055
INC0000104,5,5,1,0.8326616
INC0000110,1,2,0,0.15142183
INC0000110,2,2,0,0.15384202
INC0000116,1,2,0,0.13093048
INC0000116,2,2,0,0.1732064
INC0000124,1,2,0,0.18134175
INC0000124,2,2,0,0.19072741
INC0000125,1,5,0,0.13710733
INC0000125,2,5,0,0.12622583
INC0000125,3,5,0,0.17852068
INC0000125,4,5,0,0.16563728
INC0000125,5,5,0,0.17521627
INC0000129,1,11,1,0.1592033
INC0000129,2,11,1,0.28075492
INC0000129,3,11,1,0.37205002
INC0000129,4,11,1,0.4225901
INC0000129,5,11,1,0.9132018
INC0000129,6,11,1,0.92200136
INC0000129,7,11,1,0.9983021
INC0000129,8,11,1,0.99835783
INC0000149,1,2,0,0.11440527
INC0000149,2,2,0,0.108794495
INC0000161,1,9,1,0.1913495
INC0000161,2,9,1,0.17852941
INC0000161,3,9,1,0.90342546
INC0000161,4,9,1,0.93377805
INC0000161,5,9,1,0.80585575
INC0000161,6,9,1,0.2868742
INC0000161,7,9,1,0.33396825
INC0000161,8,9,1,0.3591535
INC0000192,1,1,0,0.20285179
INC0000232,1,11,1,0.63092124
INC0000232,2,11,1,0.7290567
INC0000232,3,11,1,0.60342604
INC0000232,4,11,1,0.69013286
INC0000232,5,11,1,0.6679346
INC0000232,6,11,1,0.67952704
INC0000232,7,11,1,0.67324454
INC0000232,8,11,1,0.9264196
INC0000237,1,2,0,0.22406648
INC0000237,2,2,0,0.3495473
INC0000246,1,7,1,0.19602905
INC0000246,2,7,1,0.21303888
INC0000246,3,7,1,0.18476582
INC0000246,4,7,1,0.27342403
INC0000246,5,7,1,0.79106295
INC0000246,6,7,1,0.7104975
INC0000246,7,7,1,0.7071983
INC0000250,1,14,1,0.24337222
INC0000250,2,14,1,0.20614858
INC0000250,3,14,1,0.37715256
INC0000250,4,14,1,0.38851768
INC0000250,5,14,1,0.46738854
INC0000250,6,14,1,0.84749424
INC0000250,7,14,1,0.9181491
INC0000250,8,14,1,0.9038664
INC0000266,1,10,1,0.31746364
INC0000266,2,10,1,0.45888978
INC0000266,3,10,1,0.59711045
INC0000266,4,10,1,0.63269585
INC0000266,5,10,1,0.6078226
INC0000266,6,10,1,0.8051893
INC0000266,7,10,1,0.87275493
INC0000266,8,10,1,0.85555464
INC0000272,1,10,1,0.28465846
INC0000272,2,10,1,0.29658717
INC0000272,3,10,1,0.30265507
INC0000272,4,10,1,0.9074164
INC0000272,5,10,1,0.91486543
INC0000272,6,10,1,0.91253525
INC0000272,7,10,1,0.91133714
INC0000272,8,10,1,0.90681547
