cohort,k,n_k,base_rate_k,auc,auc_lo,auc_hi,ap,brier,ece,bias,precision,recall,f1
variable,1,5707,0.23199579463816367,0.7822024879150633,0.7694231590678289,0.7954224287665262,0.5011277993603614,0.14655296015087954,0.022407222746233177,-0.001453611937615715,0.6105990783410138,0.2001510574018127,0.3014789533560865
variable,2,3587,0.35098968497351546,0.7459016729035481,0.7283934313353746,0.7629546368818243,0.6304649386155504,0.18847960466344885,0.0392529151209243,-0.032659852164162666,0.703770197486535,0.3113582208101668,0.43171806167400884
variable,3,2555,0.43796477495107633,0.7551161129241439,0.7360775677348164,0.7749830458367207,0.7384864181835152,0.19602443660882712,0.0466792698413746,-0.03752793828882057,0.7478386167146974,0.46380697050938335,0.5725317153888583
variable,4,1829,0.5079278294149808,0.7690862337041025,0.7466945461529083,0.7900722006415865,0.7986290777302243,0.1963213814068469,0.05476055316094404,-0.04703377415601748,0.7663690476190477,0.5543595263724435,0.6433479075577764
variable,5,1346,0.5638930163447251,0.7969106665499525,0.7730843996603066,0.8180093402597974,0.8561336509111221,0.18282886472352053,0.04773518740286688,-0.03532787976387948,0.7881996974281392,0.686429512516469,0.7338028169014085
variable,6,934,0.6231263383297645,0.8057247735082786,0.7773327513966481,0.8301790242868167,0.8883496315510517,0.17645170138349814,0.05677646516206049,-0.040455708567380136,0.8018867924528302,0.7302405498281787,0.7643884892086331
variable,7,682,0.6730205278592375,0.8252781929911974,0.7946903631975715,0.8547011526248581,0.9170813192480883,0.16301273270510291,0.05745243941245278,-0.03970266964089924,0.8333333333333334,0.7625272331154684,0.7963594994311718
variable,8,478,0.7301255230125523,0.8390306745740876,0.8001034925081291,0.8725089063652769,0.9386837772775467,0.14934101964464838,0.07307321170859317,-0.04691157319532346,0.8641975308641975,0.8022922636103151,0.8320950965824666
fixed,1,478,0.7301255230125523,0.5875924568534684,0.530342047373206,0.645490444790093,0.7682613222452019,0.3805302934795326,0.4262165381046106,-0.4181835325917027,0.7894736842105263,0.12893982808022922,0.22167487684729065
fixed,2,478,0.7301255230125523,0.6369249905599609,0.5826656155202846,0.6928244944215874,0.8136288638706094,0.3361355864552513,0.3797924540114733,-0.3733953555839362,0.8620689655172413,0.2148997134670487,0.3440366972477064
fixed,3,478,0.7301255230125523,0.6696652673196952,0.6142232865838836,0.7239672537614534,0.8365959023703097,0.2950908844377643,0.32157697920613454,-0.3120232145516319,0.8582089552238806,0.32951289398280803,0.47619047619047616
fixed,4,478,0.7301255230125523,0.6914106750183248,0.6369700794237897,0.7385795622847313,0.8568740594738632,0.2663273579678673,0.2812334049393707,-0.2673519201056494,0.8837209302325582,0.4355300859598854,0.5834932821497121
fixed,5,478,0.7301255230125523,0.7371004642278047,0.6900738871510151,0.7795147435451407,0.889796630464864,0.22656426212444628,0.2088923643335357,-0.20829700496024356,0.8755364806866953,0.5845272206303725,0.7010309278350515
fixed,6,478,0.7301255230125523,0.7676417671753182,0.7227253049547284,0.8081062130664869,0.9071353022888328,0.1992584199121397,0.16950080445558457,-0.1575698519445114,0.8787878787878788,0.664756446991404,0.7569331158238173
fixed,7,478,0.7301255230125523,0.8048022034161835,0.7634632967351296,0.8412886687846113,0.9242643514596884,0.17081389168441183,0.10554205106812914,-0.09749280615752584,0.8648648648648649,0.7335243553008596,0.7937984496124031
fixed,8,478,0.7301255230125523,0.8390306745740876,0.8001034925081291,0.8725089063652769,0.9386837772775467,0.14934101964464838,0.07307321170859317,-0.04691157319532346,0.8641975308641975,0.8022922636103151,0.8320950965824666
