cohort,k,n_k,base_rate_k,auc,auc_lo,auc_hi,ap,brier,ece,bias,precision,recall,f1
variable,1,5707,0.23199579463816367,0.7773549859281913,0.7646325109942019,0.7902987734675385,0.4939022847148993,0.15728024233762253,0.09130317845976803,0.09130317845976803,0.48917401764234164,0.4607250755287009,0.4745235316997277
variable,2,3587,0.35098968497351546,0.7244277627200991,0.7071351015475514,0.7430354329311805,0.6297232735580874,0.19059268342637745,0.02123477368043255,0.014351660815193606,0.6238286479250335,0.37013502779984114,0.4646061814556331
variable,3,2555,0.43796477495107633,0.756718593252531,0.7369180787468114,0.7757067312244649,0.7547320290444205,0.19303226214327315,0.04833340471629953,-0.04419645593012084,0.7823439878234398,0.45933869526362825,0.5788288288288288
variable,4,1829,0.5079278294149808,0.7789833751943547,0.7580165263854554,0.7991566489712505,0.8188729354723232,0.19734286134377432,0.10188055331461773,-0.09425025927587241,0.8256227758007118,0.49946178686759957,0.6224010731052985
variable,5,1346,0.5638930163447251,0.8151539841044322,0.7933906371406372,0.8367691214053472,0.8752326924845737,0.18677024613506266,0.11431045963469179,-0.11431045963469179,0.8820116054158608,0.6007905138339921,0.7147335423197492
variable,6,934,0.6231263383297645,0.8279541549515776,0.7989190509407342,0.8531347007253776,0.9007120461305811,0.1855472136022169,0.1216834296493856,-0.11769609916911676,0.8776470588235294,0.6408934707903781,0.7408142999006951
variable,7,682,0.6730205278592375,0.8397960080893344,0.8111578641702522,0.867761537738923,0.9253966082467148,0.1760072524532006,0.11673680185192312,-0.11628883455791231,0.8895027624309392,0.7015250544662309,0.784409257003654
variable,8,478,0.7301255230125523,0.8282135003664957,0.7911655102865294,0.8637416868118294,0.9366810975030644,0.19270444335829956,0.1752142143173393,-0.1752142143173393,0.9385245901639344,0.6561604584527221,0.7723440134907251
fixed,1,478,0.7301255230125523,0.5916128029141956,0.5351367345176028,0.6468788847549839,0.7832032720109036,0.3032976091899173,0.3142166739136364,-0.3032232762477177,0.7869822485207101,0.38108882521489973,0.5135135135135135
fixed,2,478,0.7301255230125523,0.6144021678772128,0.557175605896861,0.6705522486081812,0.805488681117132,0.3100403617147251,0.32568738365283734,-0.3215274058371117,0.8114754098360656,0.2836676217765043,0.42038216560509556
fixed,3,478,0.7301255230125523,0.6706648008707048,0.6146944244126085,0.7256143153062083,0.84173898497753,0.3083313437265597,0.3291102792911463,-0.32001854143181335,0.8503937007874016,0.30945558739255014,0.453781512605042
fixed,4,478,0.7301255230125523,0.6816374580751206,0.6251798240155644,0.7303293570870235,0.855063145653301,0.3070938357668765,0.32142541579445033,-0.31393872776040704,0.8523489932885906,0.3638968481375358,0.5100401606425703
fixed,5,478,0.7301255230125523,0.7420759201261633,0.6944212376268329,0.7896034645863291,0.8912503472060526,0.27874524306500537,0.28628711572329596,-0.2859395468863419,0.907608695652174,0.4785100286532951,0.626641651031895
fixed,6,478,0.7301255230125523,0.7875658026254415,0.745083625561149,0.8270705044419373,0.9142939761101995,0.23817733884464623,0.23432383497911566,-0.23432383497911566,0.9238095238095239,0.5558739255014327,0.6940966010733453
fixed,7,478,0.7301255230125523,0.823460163035028,0.7844288870786982,0.8604715995399734,0.9312961105671265,0.1975919098359009,0.17351417050849804,-0.17351417050849804,0.9130434782608695,0.66189111747851,0.7674418604651163
fixed,8,478,0.7301255230125523,0.8282135003664957,0.7911655102865294,0.8637416868118294,0.9366810975030644,0.19270444335829956,0.1752142143173393,-0.1752142143173393,0.9385245901639344,0.6561604584527221,0.7723440134907251
