k,bin,n,mean_pred,observed
1,"(-0.001, 0.1]",802,0.06275250546271514,0.02119700748129676
1,"(0.1, 0.2]",1152,0.14913482010078147,0.0685763888888889
1,"(0.2, 0.3]",1086,0.24718652901225463,0.16390423572744015
1,"(0.3, 0.4]",805,0.34893202228534903,0.2956521739130435
1,"(0.4, 0.5]",615,0.44791176227465973,0.3284552845528455
1,"(0.5, 0.6]",592,0.5480470104707079,0.41216216216216217
1,"(0.6, 0.7]",349,0.6427878473904287,0.5128939828080229
1,"(0.7, 0.8]",153,0.7445035043813624,0.5424836601307189
1,"(0.8, 0.9]",93,0.8494675889542546,0.5483870967741935
1,"(0.9, 1.0]",60,0.9408254034292548,0.8833333333333333
2,"(-0.001, 0.1]",201,0.06709308846674229,0.0845771144278607
2,"(0.1, 0.2]",565,0.15911787124170254,0.15575221238938053
2,"(0.2, 0.3]",811,0.24813928008650232,0.2564734895191122
2,"(0.3, 0.4]",726,0.34609819016400534,0.3347107438016529
2,"(0.4, 0.5]",537,0.4449615410555209,0.441340782122905
2,"(0.5, 0.6]",305,0.5423737874232449,0.4131147540983607
2,"(0.6, 0.7]",147,0.64647065573275,0.6258503401360545
2,"(0.7, 0.8]",94,0.7379814130075042,0.648936170212766
2,"(0.8, 0.9]",62,0.8529934682411557,0.8387096774193549
2,"(0.9, 1.0]",139,0.9563199290951464,0.9712230215827338
3,"(-0.001, 0.1]",136,0.06293488625063277,0.13970588235294118
3,"(0.1, 0.2]",493,0.15350032719006895,0.21095334685598377
3,"(0.2, 0.3]",604,0.2484029278149878,0.34271523178807944
3,"(0.3, 0.4]",400,0.3490976483307103,0.375
3,"(0.4, 0.5]",265,0.4480039660461371,0.4716981132075472
3,"(0.5, 0.6]",150,0.5478168593855415,0.52
3,"(0.6, 0.7]",95,0.6475569421119453,0.6947368421052632
3,"(0.7, 0.8]",92,0.7512219909403485,0.7391304347826086
3,"(0.8, 0.9]",90,0.8531426579902932,0.8666666666666667
3,"(0.9, 1.0]",230,0.9733133466734073,0.9739130434782609
4,"(-0.001, 0.1]",154,0.06527204157853013,0.14935064935064934
4,"(0.1, 0.2]",397,0.14986459033859945,0.3022670025188917
4,"(0.2, 0.3]",325,0.24802966453663688,0.39076923076923076
4,"(0.3, 0.4]",237,0.3469259329944156,0.4430379746835443
4,"(0.4, 0.5]",154,0.4441458872732437,0.5844155844155844
4,"(0.5, 0.6]",100,0.5497790389843258,0.48
4,"(0.6, 0.7]",76,0.6470222575539422,0.7368421052631579
4,"(0.7, 0.8]",73,0.7529020757153974,0.8082191780821918
4,"(0.8, 0.9]",77,0.8470554408719807,0.8701298701298701
4,"(0.9, 1.0]",236,0.9809401243044489,0.9915254237288136
5,"(-0.001, 0.1]",177,0.06265152694358371,0.2598870056497175
5,"(0.1, 0.2]",266,0.1534810253581603,0.2932330827067669
5,"(0.2, 0.3]",180,0.24369091447821575,0.4388888888888889
5,"(0.3, 0.4]",116,0.34631133780330914,0.4396551724137931
5,"(0.4, 0.5]",90,0.44464527225851996,0.5444444444444444
5,"(0.5, 0.6]",91,0.5469416281058068,0.6703296703296703
5,"(0.6, 0.7]",52,0.6503027049322209,0.75
5,"(0.7, 0.8]",57,0.7452784069742138,0.8596491228070176
5,"(0.8, 0.9]",58,0.852409120190373,0.896551724137931
5,"(0.9, 1.0]",259,0.9793832704255392,0.9845559845559846
6,"(-0.001, 0.1]",117,0.05373255810425398,0.23076923076923078
6,"(0.1, 0.2]",141,0.14695333709359162,0.36879432624113473
6,"(0.2, 0.3]",114,0.25023287056093796,0.42105263157894735
6,"(0.3, 0.4]",88,0.34256078852940947,0.5795454545454546
6,"(0.4, 0.5]",49,0.448102109821548,0.6326530612244898
6,"(0.5, 0.6]",47,0.5497545232886901,0.6595744680851063
6,"(0.6, 0.7]",40,0.6539442114115629,0.65
6,"(0.7, 0.8]",56,0.7482411598339278,0.8035714285714286
6,"(0.8, 0.9]",49,0.8537502582103274,0.8979591836734694
6,"(0.9, 1.0]",233,0.9815635831666225,0.9742489270386266
7,"(-0.001, 0.1]",94,0.05433391350690155,0.2872340425531915
7,"(0.1, 0.2]",86,0.1441395291988126,0.4186046511627907
7,"(0.2, 0.3]",63,0.2523884983047368,0.4444444444444444
7,"(0.3, 0.4]",41,0.3552775599508305,0.5365853658536586
7,"(0.4, 0.5]",36,0.4477963440924093,0.6666666666666666
7,"(0.5, 0.6]",33,0.5599574968334426,0.6060606060606061
7,"(0.6, 0.7]",39,0.6516062447747634,0.6923076923076923
7,"(0.7, 0.8]",28,0.7554556016877745,0.75
7,"(0.8, 0.9]",49,0.8492121439130333,0.8979591836734694
7,"(0.9, 1.0]",213,0.9809610839039073,0.9859154929577465
8,"(-0.001, 0.1]",63,0.045480970796204674,0.4126984126984127
8,"(0.1, 0.2]",52,0.14914299963214128,0.46153846153846156
8,"(0.2, 0.3]",44,0.2503200742412895,0.5454545454545454
8,"(0.3, 0.4]",37,0.347687994448794,0.4594594594594595
8,"(0.4, 0.5]",38,0.4533990388474156,0.7631578947368421
8,"(0.5, 0.6]",23,0.538102926446591,0.8260869565217391
8,"(0.6, 0.7]",24,0.6499867523228886,0.75
8,"(0.7, 0.8]",16,0.7531207934214559,0.8125
8,"(0.8, 0.9]",32,0.8483885256725577,1.0
8,"(0.9, 1.0]",149,0.9821795368964407,0.9865771812080537
